Settings,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns
,Time,Time,Time,Time,Nodes,Nodes,Nodes,Nodes,PInt,PInt,PInt,PInt,Status,Status,Status,Status,LP_Iterations_dualLP,LP_Iterations_dualLP,LP_Iterations_dualLP,LP_Iterations_dualLP,NodesQ,NodesQ,NodesQ,NodesQ,TimeQ+10,TimeQ+10,TimeQ+10,TimeQ+10,PIntQ+1000,PIntQ+1000,PIntQ+1000,PIntQ+1000
ProblemName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
app1-2,5325.7,7200.0,4414.77,7200.0,40736.0,58191.0,33778.0,67785.0,177568.2926829268,309051.4634146341,135960.97560975607,720001.0,ok,timelimit,ok,timelimit,1628421.0,1995629.0,1236019.0,2021318.0,0.6009589142140591,0.8584642620048684,0.49831083573061885,1.0,0.7400416088765603,1.0,0.6136990291262137,1.0,0.24766719142265659,0.43002917251797723,0.18995948079095046,1.0
arki001,7200.0,7200.0,6777.29,7200.0,2003261.0,1993448.0,1539815.0,1675549.0,391.6419907449439,433.80197208818197,415.7071895423014,431.3107527068378,timelimit,timelimit,ok,timelimit,25993709.0,23083821.0,26113239.0,25467048.0,1.1955848500998778,1.1897282621994343,0.9189913276185895,1.0,1.0,1.0,0.9413717059639389,1.0,0.9722850108637319,1.0017405160805457,0.9890984098770812,1.0
bab5,677.25,1115.79,871.34,2818.94,10248.0,17491.0,11130.0,58915.0,2746.375755722883,2737.0817104956755,2707.2368996032424,2895.612975584667,ok,ok,ok,ok,429837.0,825547.0,635894.0,2147847.0,0.17394551472460323,0.2968853432911822,0.18891623525417975,1.0,0.24293551648320572,0.39795471095180524,0.3115442533245668,1.0,0.9616909531832057,0.959305180960591,0.9516440475062459,1.0
beasleyC3,98.84,107.98,76.12,71.79,2050.0,2606.0,1161.0,1334.0,532.3632774429309,514.7775774975743,503.56555301140247,556.3835474562327,ok,ok,ok,ok,156801.0,176451.0,111695.0,108265.0,1.5367316341829085,1.9535232383808097,0.8703148425787106,1.0,1.3307250275094755,1.442474630150385,1.0529404572686147,1.0,0.9845666127397962,0.9732675341970433,0.9660636386633896,1.0
biella1,721.73,234.03,722.47,708.99,7425.0,2206.0,7425.0,7425.0,2495.2466281875013,1995.2869841179938,2520.929094231272,2418.4799528423787,ok,ok,ok,ok,1324809.0,355486.0,1324809.0,1324809.0,1.0,0.2971043771043771,1.0,1.0,1.0177193006856842,0.3394066676866159,1.0187485222325763,1.0,1.0224563772214879,0.8762043438714593,1.0299692093568398,1.0
binkar10_1,6.33,49.6,48.38,49.03,251.0,3731.0,3731.0,3731.0,48.76516607034804,51.9470613302106,33.27867614404779,36.59770127501732,ok,ok,ok,ok,6767.0,77045.0,77045.0,77045.0,0.06727418922540873,1.0,1.0,1.0,0.27663899712010837,1.0096561070642047,0.9889886498390649,1.0,1.0117378851799157,1.014807441726249,0.996798155034603,1.0
blend2,2.04,2.37,2.27,4.57,1003.0,1003.0,962.0,4877.0,18.762155752725654,29.375345558474056,30.364218531519384,217.01004320526133,ok,ok,ok,ok,4581.0,4581.0,4524.0,17414.0,0.2056592167315973,0.2056592167315973,0.19725240926799262,1.0,0.8263555250514756,0.8490048043925875,0.8421413864104323,1.0,0.837102504979822,0.8458232134612378,0.8466357564460442,1.0
cap6000,4.6,4.9,5.41,4.57,2047.0,2047.0,2307.0,2047.0,29.467397303637913,59.46739730363791,66.06908688463666,29.467111749845085,ok,ok,ok,ok,4223.0,4223.0,5257.0,4223.0,1.0,1.0,1.1270151441133367,1.0,1.0020590253946464,1.022649279341112,1.0576527110501028,1.0,1.0000002773801995,1.0291415677211868,1.0355542928152186,1.0
core2536-691,58.52,57.74,49.27,108.43,119.0,119.0,119.0,156.0,272.9714176476993,272.9898707016642,249.0570071978771,357.21735565589734,ok,ok,ok,ok,59130.0,59130.0,42368.0,66914.0,0.7628205128205128,0.7628205128205128,0.7628205128205128,1.0,0.5785696191843284,0.5719834501393228,0.5004644093557375,1.0,0.9379274530662889,0.9379410493070737,0.9203072757600053,1.0
dano3_3,69.4,69.04,53.97,67.92,2.0,2.0,23.0,11.0,534.9642397899402,534.9642397899402,576.868971368073,534.590635926926,ok,ok,ok,ok,45042.0,45042.0,34667.0,136290.0,0.18181818181818182,0.18181818181818182,2.090909090909091,1.0,1.018993839835729,1.0143737166324436,0.8209702258726899,1.0,1.0002434550649975,1.0002434550649975,1.027550236819743,1.0
dano3_5,158.41,183.36,165.62,158.91,139.0,178.0,193.0,139.0,375.83048069792795,376.2573775654858,399.2480006094478,396.0606260802268,ok,ok,ok,ok,108063.0,166411.0,116892.0,108063.0,1.0,1.2805755395683454,1.3884892086330936,1.0,0.9970398437037475,1.1447516428867446,1.0397252974957079,1.0,0.9855091211625243,0.9858149079310806,1.0022831204244835,1.0
danoint,5845.53,5846.66,5840.62,5956.88,1509084.0,1527197.0,1509084.0,1509084.0,584.3766902675674,758.5586315716426,585.462847678858,598.4557042244147,ok,ok,ok,ok,68449991.0,70301362.0,68449991.0,68449991.0,1.0,1.012002645313316,1.0,1.0,0.9813386560480518,0.98152803475183,0.9805157804413697,1.0,0.9911921150397606,1.1001610034761091,0.9918716192690114,1.0
dcmulti,2.61,2.59,2.13,2.28,88.0,88.0,88.0,135.0,14.738231182641348,14.720628248176528,13.811580916267369,14.051772461398992,ok,ok,ok,ok,2543.0,2543.0,2533.0,2757.0,0.6518518518518519,0.6518518518518519,0.6518518518518519,1.0,1.026872964169381,1.0252442996742672,0.987785016286645,1.0,1.000676946424122,1.0006595874145106,0.9997631368026225,1.0
dfn-gwin-UUM,76.14,67.57,68.11,87.73,23863.0,18970.0,18970.0,29181.0,156.2775305663808,166.399109246802,166.14841121243262,169.2616165262088,ok,ok,ok,ok,537462.0,463153.0,463153.0,623077.0,0.8177581302902573,0.650080531852918,0.650080531852918,1.0,0.8814079607080733,0.7937173846311265,0.7992428118285071,1.0,0.9888954826051651,0.997551867572707,0.9973374604367623,1.0
eilB101,285.84,287.58,363.91,285.77,20029.0,20029.0,25799.0,20029.0,703.1506063715088,729.649260776427,1089.6343467437512,699.8313541341513,ok,ok,ok,ok,1072813.0,1072813.0,1323196.0,1072813.0,1.0,1.0,1.2880822806929952,1.0,1.0002366703857728,1.0061196199749807,1.2641917706325863,1.0,1.0019526950301774,1.017541685279399,1.2293186272047294,1.0
glass4,1525.54,1709.61,1263.89,3358.24,1128981.0,1275522.0,1182865.0,2240661.0,36138.652587761404,42951.71734299408,28260.082970319545,80752.22120530806,ok,ok,ok,ok,12484403.0,13909152.0,10995318.0,23456683.0,0.5038606911085612,0.5692614813218064,0.5279089518673284,1.0,0.4558879414768544,0.5105366600954802,0.37820642234520113,1.0,0.45428310130550975,0.5376210786079578,0.3579117795079521,1.0
k16x240,2346.57,2340.29,2961.71,2977.08,1012176.0,1012176.0,1289065.0,1289065.0,62.410864515847564,62.61231088145496,128.71857979772065,127.68318453447371,ok,ok,ok,ok,10775190.0,10775190.0,13633517.0,13633517.0,0.7852016771846261,0.7852016771846261,1.0,1.0,0.7889209529038392,0.7868185652878397,0.9948545067423705,1.0,0.9421182111130162,0.9422968484895152,1.0009181614813867,1.0
l152lav,1.85,2.26,2.24,1.77,57.0,57.0,18.0,57.0,22.50894654721753,43.91473508826891,43.238425003989576,22.460474471348196,ok,ok,ok,ok,2570.0,2570.0,2852.0,2570.0,1.0,1.0,0.3157894736842105,1.0,1.0067969413763806,1.0416312659303313,1.0399320305862363,1.0,1.0000474072857382,1.0209829730855988,1.0203215195613153,1.0
leo1,4498.06,3445.4,4499.6,4484.55,602050.0,482314.0,602050.0,602050.0,4318.656565929206,3574.529318328471,4317.752528924573,4302.777110236272,ok,ok,ok,ok,15320867.0,11937531.0,15320867.0,15320867.0,1.0,0.8011195083464828,1.0,1.0,1.0030058626558833,0.7687977661834888,1.003348499849818,1.0,1.0029945546197447,0.8626667165583822,1.0028240709305682,1.0
lrn,898.02,1018.78,960.23,807.22,30503.0,37602.0,30298.0,31986.0,4526.448242376277,4557.439954503126,4551.382573448484,4538.490989654142,ok,ok,ok,ok,306338.0,325464.0,329964.0,329689.0,0.9536359657350091,1.1755768148564998,0.9472269117739011,1.0,1.1111083918651037,1.258877658402878,1.18723232422114,1.0,0.9978256266372265,1.003421322682366,1.002327634696603,1.0
map06,725.82,822.12,778.48,1094.21,490.0,627.0,573.0,965.0,7632.2145328719735,9890.452982698962,7315.162698961937,19657.301038062287,ok,ok,ok,ok,265112.0,302795.0,282393.0,488234.0,0.5077720207253886,0.649740932642487,0.5937823834196891,1.0,0.6663768667191929,0.7535885384120774,0.7140670705753435,1.0,0.41787717170634314,0.5271963148831817,0.40252899851925295,1.0
map10,993.64,958.48,981.79,921.62,1304.0,1126.0,1071.0,1215.0,12045.608262626261,11677.232323232323,11764.369838383838,11623.49494949495,ok,ok,ok,ok,440905.0,411360.0,419422.0,412442.0,1.0732510288065844,0.9267489711934156,0.8814814814814815,1.0,1.0773061978059724,1.0395654880745369,1.0645864193555312,1.0,1.0334387041639526,1.0042569331197397,1.0111597374144412,1.0
mc11,407.19,408.26,407.7,441.93,7470.0,7470.0,7470.0,8600.0,690.1832968209862,685.1473479349879,695.6832532473803,694.7446168337999,ok,ok,ok,ok,227256.0,227256.0,227256.0,230304.0,0.8686046511627907,0.8686046511627907,0.8686046511627907,1.0,0.9231296882260527,0.9254973115305467,0.9242581815767928,1.0,0.9973085502278595,0.9943370412252779,1.000553851243578,1.0
mine-90-10,433.62,465.42,503.42,510.33,32492.0,34227.0,37914.0,37914.0,2854.911406868583,2778.889130552278,2856.14092032541,2845.606752569986,ok,ok,ok,ok,615738.0,585280.0,682999.0,682999.0,0.856992140106557,0.9027536002532046,1.0,1.0,0.8525743278304154,0.9136893894259414,0.9867199661753121,1.0,1.0024195542855179,0.9826509504714384,1.0027392732625051,1.0
mkc1,55.83,46.96,33.26,34.76,6849.0,3682.0,2428.0,2852.0,50.592400943994434,48.04715690036512,86.57027998689078,90.48759319309563,ok,ok,ok,ok,66868.0,42617.0,34973.0,40446.0,2.4014726507713884,1.2910238429172511,0.8513323983169705,1.0,1.470732797140304,1.2725647899910635,0.9664879356568364,1.0,0.9634152717572121,0.9610812295732232,0.9964077416096643,1.0
mod010,0.94,0.93,0.5,0.5,2.0,1.0,1.0,1.0,52.76371907876031,52.76371907876031,21.381859539380155,21.381859539380155,ok,ok,ok,ok,931.0,615.0,612.0,612.0,2.0,1.0,1.0,1.0,1.041904761904762,1.0409523809523809,1.0,1.0,1.0307249039585769,1.0307249039585769,1.0,1.0
mod011,201.92,195.59,190.28,189.82,1174.0,1096.0,1148.0,1148.0,2016.698078184762,1987.8717745288227,1994.339867653805,2028.2041634485854,ok,ok,ok,ok,224205.0,226388.0,218215.0,218215.0,1.0226480836236933,0.9547038327526133,1.0,1.0,1.0605544990491442,1.0288759883895506,1.0023020718646782,1.0,0.9962003601333406,0.9866810866299611,0.9888170367759435,1.0
msc98-ip,787.06,901.16,2873.38,726.25,2585.0,3637.0,10498.0,2309.0,7719.633322533699,8033.129556251682,21396.56435772818,10393.6654512105,ok,ok,ok,ok,1036561.0,1183624.0,4733398.0,935149.0,1.1195322650498052,1.5751407535729753,4.546556951061065,1.0,1.0825942275042444,1.2375687606112054,3.9163056027164687,1.0,0.7653053672562676,0.7928203259024051,1.9657031754735872,1.0
mzzv42z,97.96,146.82,103.91,97.29,17.0,8.0,17.0,17.0,7324.987341772152,7467.086660175267,7613.273612463486,7274.725413826679,ok,ok,ok,ok,23198.0,43340.0,23198.0,23198.0,1.0,0.47058823529411764,1.0,1.0,1.0062447572001116,1.4616460061515517,1.0617019293503587,1.0,1.006074150552656,1.023246843457447,1.0409135266375256,1.0
n4-3,116.46,134.89,128.73,135.1,2313.0,2925.0,2422.0,2925.0,590.989458998897,635.0277909121019,670.9327271887303,657.588801693728,ok,ok,ok,ok,314185.0,360800.0,335028.0,360800.0,0.7907692307692308,1.0,0.828034188034188,1.0,0.8715368711233632,0.99855272226051,0.9560992419021365,1.0,0.9598215536767747,0.9863892596531944,1.0080502024877145,1.0
neos-1053591,4.31,5.19,4.78,4.57,2100.0,2185.0,2185.0,2185.0,20.607517445671125,22.370492086847563,11.28355912439559,11.216681121458912,ok,ok,ok,ok,13981.0,15603.0,15603.0,15603.0,0.9610983981693364,1.0,1.0,1.0,0.9821551132463966,1.0425531914893618,1.0144131777625258,1.0,1.009286670700287,1.0110300899635267,1.000066136174556,1.0
neos-1061020,3776.98,3778.63,3620.97,3775.34,23691.0,23691.0,22775.0,23691.0,8251.84589615207,8240.145244712057,8170.525565465179,8250.944136164175,ok,ok,ok,ok,2822415.0,2822415.0,2696579.0,2822415.0,1.0,1.0,0.9613355282596767,1.0,1.000433250381736,1.000869142534092,0.9592189869338025,1.0,1.000097477616838,0.9988326714232441,0.9913069877500805,1.0
neos-1096528,4563.17,4542.42,4342.62,4536.72,7982.0,7982.0,7711.0,7982.0,57648.31277338931,57427.84388179868,56763.49933840076,57610.79881683126,ok,ok,ok,ok,121816.0,121816.0,118468.0,121816.0,1.0,1.0,0.9660486093710849,1.0,1.005817380441285,1.0012536509835661,0.9573098849280359,1.0,1.0006400519582628,0.9968784773672111,0.9855436285542114,1.0
neos-1126860,1803.39,1833.49,1780.95,1792.07,4878.0,4878.0,4878.0,4636.0,1977.34375,1973.75,1959.4591346153848,4494.456845238095,ok,ok,ok,ok,2530362.0,2530362.0,2530362.0,2504892.0,1.0522001725625538,1.0522001725625538,1.0522001725625538,1.0,1.0062816649741686,1.022984678730571,0.9938293185059405,1.0,0.5418813604078786,0.5412272921166489,0.538626331587311,1.0
neos-1171448,51.95,6.09,51.4,50.86,136.0,1.0,136.0,136.0,320.0535210355988,282.07877993527507,311.36680582524275,318.67263106796116,ok,ok,ok,ok,15931.0,5242.0,15931.0,15931.0,1.0,0.007352941176470588,1.0,1.0,1.0179099572790011,0.26437725928360173,1.0088728228721655,1.0,1.0010471817910707,0.9722494800676574,0.9944597126909341,1.0
neos-1171692,28.35,24.09,57.39,20.84,551.0,288.0,2003.0,201.0,157.17007692307692,137.47337362637364,141.85614652014624,150.76516483516488,ok,ok,ok,ok,28128.0,14899.0,144044.0,11588.0,2.7412935323383083,1.4328358208955223,9.965174129353233,1.0,1.243514915693904,1.1053826199740597,2.1851491569390404,1.0,1.005565785517004,0.9884496058666364,0.9922581786560295,1.0
neos-1171737,1879.32,7200.0,6810.44,3074.84,86066.0,395538.0,406623.0,123769.0,2389.7494564102562,10037.76408205128,10238.362328205134,6054.123056410256,ok,timelimit,ok,ok,6700281.0,30295691.0,28558578.0,13622067.0,0.6953760634730829,3.1957760020683694,3.2853380087097737,1.0,0.6124531580244031,2.3372362910231974,2.2109542148053056,1.0,0.4805344944088985,1.5647251960002302,1.5931622170940944,1.0
neos-1215259,46.08,37.67,43.09,37.21,1626.0,1229.0,1494.0,1229.0,1407.8924236967932,1343.0990623632133,1364.6352936041117,1338.5726362349997,ok,ok,ok,ok,110889.0,88872.0,103082.0,88872.0,1.323026851098454,1.0,1.2156224572823433,1.0,1.1878839228976912,1.0097436983689896,1.1245498834992587,1.0,1.0296419219089963,1.001935550796276,1.0111446858503705,1.0
neos-1441553,2.21,2.26,1.82,1.96,1.0,1.0,1.0,1.0,196.0,203.84615384615384,156.0,173.84615384615384,ok,ok,ok,ok,862.0,877.0,877.0,877.0,1.0,1.0,1.0,1.0,1.0209030100334449,1.0250836120401337,0.9882943143812709,1.0,1.018872870249017,1.025557011795544,0.9847968545216252,1.0
