Settings,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns
,Time,Time,Time,Time,Nodes,Nodes,Nodes,Nodes,PInt,PInt,PInt,PInt,Status,Status,Status,Status,LP_Iterations_dualLP,LP_Iterations_dualLP,LP_Iterations_dualLP,LP_Iterations_dualLP,NodesQ,NodesQ,NodesQ,NodesQ,TimeQ+10,TimeQ+10,TimeQ+10,TimeQ+10,PIntQ+1000,PIntQ+1000,PIntQ+1000,PIntQ+1000
ProblemName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30n20b8,256.29,254.62,253.65,253.66,687.0,687.0,687.0,687.0,15902.403753558281,15769.070420224947,15735.737086891613,15814.45920865171,ok,ok,ok,ok,470870.0,470870.0,470870.0,470870.0,1.0,1.0,1.0,1.0,1.0099749677615113,1.003641052871122,0.9999620723659258,1.0,1.0052302927983152,0.997300609679828,0.9953181889002062,1.0
acc-tight4,170.16,170.19,170.47,170.63,634.0,634.0,634.0,634.0,17000.0,17000.0,17000.0,17100.0,ok,ok,ok,ok,598405.0,598405.0,598405.0,598405.0,1.0,1.0,1.0,1.0,0.9973979959032276,0.9975640812711067,0.9991142113713115,1.0,0.994475138121547,0.994475138121547,0.994475138121547,1.0
acc-tight5,118.09,116.86,116.37,116.42,815.0,815.0,815.0,815.0,11800.0,11700.0,11600.0,11600.0,ok,ok,ok,ok,410364.0,410364.0,410364.0,410364.0,1.0,1.0,1.0,1.0,1.0132099351368455,1.0034804619522226,0.9996044929599747,1.0,1.0158730158730158,1.007936507936508,1.0,1.0
aflow40b,899.96,898.45,900.05,893.87,29572.0,29572.0,29572.0,29572.0,3867.836482047637,3861.348902478234,3879.4731922921774,3725.4992414332532,ok,ok,ok,ok,1574298.0,1574298.0,1574298.0,1574298.0,1.0,1.0,1.0,1.0,1.0067376945799729,1.0050671003573524,1.006837266421056,1.0,1.03012110114554,1.0287482134911479,1.0325836367740528,1.0
app1-2,5325.7,7200.0,4414.77,7200.0,40736.0,58191.0,33778.0,67785.0,177568.2926829268,309051.4634146341,135960.97560975607,720001.0,ok,timelimit,ok,timelimit,1628421.0,1995629.0,1236019.0,2021318.0,0.6009589142140591,0.8584642620048684,0.49831083573061885,1.0,0.7400416088765603,1.0,0.6136990291262137,1.0,0.24766719142265659,0.43002917251797723,0.18995948079095046,1.0
arki001,7200.0,7200.0,6777.29,7200.0,2003261.0,1993448.0,1539815.0,1675549.0,391.6419907449439,433.80197208818197,415.7071895423014,431.3107527068378,timelimit,timelimit,ok,timelimit,25993709.0,23083821.0,26113239.0,25467048.0,1.1955848500998778,1.1897282621994343,0.9189913276185895,1.0,1.0,1.0,0.9413717059639389,1.0,0.9722850108637319,1.0017405160805457,0.9890984098770812,1.0
bab5,677.25,1115.79,871.34,2818.94,10248.0,17491.0,11130.0,58915.0,2746.375755722883,2737.0817104956755,2707.2368996032424,2895.612975584667,ok,ok,ok,ok,429837.0,825547.0,635894.0,2147847.0,0.17394551472460323,0.2968853432911822,0.18891623525417975,1.0,0.24293551648320572,0.39795471095180524,0.3115442533245668,1.0,0.9616909531832057,0.959305180960591,0.9516440475062459,1.0
bc,1146.47,1144.77,1150.95,1142.9,16925.0,16925.0,16925.0,16925.0,15355.652173913046,15301.44927536232,15684.927536231886,15302.318840579712,ok,ok,ok,ok,453883.0,453883.0,453883.0,453883.0,1.0,1.0,1.0,1.0,1.003096539162113,1.001621996703964,1.0069823922282939,1.0,1.0032715182333802,0.9999466600288035,1.023469587326423,1.0
bc1,254.03,251.42,253.9,247.09,2892.0,2892.0,2892.0,2892.0,6265.45803389565,6195.444981505342,6305.716264927168,6164.5102411618445,ok,ok,ok,ok,86952.0,86952.0,86952.0,86952.0,1.0,1.0,1.0,1.0,1.0269944377455364,1.0168423509276905,1.026488778248862,1.0,1.014089978147262,1.0043177746003864,1.0197090965065638,1.0
biella1,721.73,234.03,722.47,708.99,7425.0,2206.0,7425.0,7425.0,2495.2466281875013,1995.2869841179938,2520.929094231272,2418.4799528423787,ok,ok,ok,ok,1324809.0,355486.0,1324809.0,1324809.0,1.0,0.2971043771043771,1.0,1.0,1.0177193006856842,0.3394066676866159,1.0187485222325763,1.0,1.0224563772214879,0.8762043438714593,1.0299692093568398,1.0
bienst2,342.3,343.33,341.52,342.69,68349.0,68349.0,68349.0,68349.0,471.14306852704567,499.85337679879353,466.87253034532023,474.05506878912576,ok,ok,ok,ok,4652252.0,4652252.0,4652252.0,4652252.0,1.0,1.0,1.0,1.0,0.9988942130482861,1.0018146247412743,0.996682639144858,1.0,0.9980244969650475,1.0175015903787503,0.9951273608456802,1.0
bley_xl1,176.6,177.68,176.49,177.14,1.0,1.0,1.0,1.0,16732.868852459018,16832.868852459018,16727.868852459018,16795.16393442623,ok,ok,ok,ok,17987.0,17987.0,17987.0,17987.0,1.0,1.0,1.0,1.0,0.9971144597627445,1.0028855402372556,0.9965266645292296,1.0,0.9964993251988706,1.0021188294848942,0.9962183499845695,1.0
bnatt350,1092.91,1094.76,1093.64,1105.6,7566.0,7566.0,7566.0,7566.0,109300.0,109500.0,109400.0,110600.0,ok,ok,ok,ok,3781218.0,3781218.0,3781218.0,3781218.0,1.0,1.0,1.0,1.0,0.9886249551810686,0.9902832556471854,0.9892793115812121,1.0,0.9883512544802867,0.9901433691756273,0.989247311827957,1.0
bnatt400,1301.5,1300.09,1295.86,1307.2,7966.0,7966.0,7966.0,7966.0,101100.0,101000.0,100700.0,101400.0,ok,ok,ok,ok,3686780.0,3686780.0,3686780.0,3686780.0,1.0,1.0,1.0,1.0,0.9956726389310658,0.994602186456119,0.9913908290312784,1.0,0.9970703125,0.99609375,0.9931640625,1.0
cov1075,134.58,135.0,134.58,134.64,20321.0,20321.0,20321.0,20321.0,166.39845661584792,166.79371353284395,166.39845661584792,165.96555618294747,ok,ok,ok,ok,910767.0,910767.0,910767.0,910767.0,1.0,1.0,1.0,1.0,0.9995851769911506,1.0024889380530975,0.9995851769911506,1.0,1.000371280635697,1.0007102759987248,1.000371280635697,1.0
csched007,2802.31,2748.7,2748.24,2739.8,271924.0,271924.0,271924.0,271924.0,5341.229357187797,5238.900415564046,5243.409141412028,5204.218084258448,ok,ok,ok,ok,25497397.0,25497397.0,25497397.0,25497397.0,1.0,1.0,1.0,1.0,1.0227325623681722,1.0032365990253835,1.0030693141319367,1.0,1.0220835681577634,1.0055901212424487,1.0063168406753813,1.0
csched008,445.88,445.77,446.42,445.86,42039.0,42039.0,42039.0,42039.0,1454.4614471924951,1464.3875408171634,1454.9703027251164,1424.4010130191186,ok,ok,ok,ok,6288830.0,6288830.0,6288830.0,6288830.0,1.0,1.0,1.0,1.0,1.00004387311894,0.9998025709647698,1.0012284473303208,1.0,1.0123991179726253,1.016493363755961,1.0126090071493286,1.0
csched010,2566.71,2568.67,2569.12,2566.79,216547.0,216547.0,216547.0,216547.0,4818.876841651969,4832.240085405726,4829.157586251672,4817.1164865077635,ok,ok,ok,ok,23385760.0,23385760.0,23385760.0,23385760.0,1.0,1.0,1.0,1.0,0.99996895362059,1.000729589916136,1.0009042258003173,1.0,1.000302616450657,1.0025998446022253,1.0020699430330882,1.0
dano3_5,158.41,183.36,165.62,158.91,139.0,178.0,193.0,139.0,375.83048069792795,376.2573775654858,399.2480006094478,396.0606260802268,ok,ok,ok,ok,108063.0,166411.0,116892.0,108063.0,1.0,1.2805755395683454,1.3884892086330936,1.0,0.9970398437037475,1.1447516428867446,1.0397252974957079,1.0,0.9855091211625243,0.9858149079310806,1.0022831204244835,1.0
danoint,5845.53,5846.66,5840.62,5956.88,1509084.0,1527197.0,1509084.0,1509084.0,584.3766902675674,758.5586315716426,585.462847678858,598.4557042244147,ok,ok,ok,ok,68449991.0,70301362.0,68449991.0,68449991.0,1.0,1.012002645313316,1.0,1.0,0.9813386560480518,0.98152803475183,0.9805157804413697,1.0,0.9911921150397606,1.1001610034761091,0.9918716192690114,1.0
eil33-2,113.2,116.14,112.88,112.86,629.0,629.0,629.0,629.0,634.1825069762209,665.1477848220717,649.3876357987324,610.874024587019,ok,ok,ok,ok,43666.0,43666.0,43666.0,43666.0,1.0,1.0,1.0,1.0,1.0027673775028487,1.026697053556894,1.0001627869119323,1.0,1.0144694631817515,1.0336921195615945,1.023908518371936,1.0
eilB101,285.84,287.58,363.91,285.77,20029.0,20029.0,25799.0,20029.0,703.1506063715088,729.649260776427,1089.6343467437512,699.8313541341513,ok,ok,ok,ok,1072813.0,1072813.0,1323196.0,1072813.0,1.0,1.0,1.2880822806929952,1.0,1.0002366703857728,1.0061196199749807,1.2641917706325863,1.0,1.0019526950301774,1.017541685279399,1.2293186272047294,1.0
ex10,506.47,504.27,515.13,514.53,1.0,1.0,1.0,1.0,50600.0,50400.0,51500.0,51500.0,ok,ok,ok,ok,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9846338626961281,0.9804396316702572,1.001143881188874,1.0,0.9828571428571429,0.979047619047619,1.0,1.0
glass4,1525.54,1709.61,1263.89,3358.24,1128981.0,1275522.0,1182865.0,2240661.0,36138.652587761404,42951.71734299408,28260.082970319545,80752.22120530806,ok,ok,ok,ok,12484403.0,13909152.0,10995318.0,23456683.0,0.5038606911085612,0.5692614813218064,0.5279089518673284,1.0,0.4558879414768544,0.5105366600954802,0.37820642234520113,1.0,0.45428310130550975,0.5376210786079578,0.3579117795079521,1.0
iis-100-0-cov,1404.07,1393.91,1403.8,1405.91,79261.0,79261.0,79261.0,79261.0,257.05698924731183,256.4118279569892,257.62394916911046,257.05698924731183,ok,ok,ok,ok,3409618.0,3409618.0,3409618.0,3409618.0,1.0,1.0,1.0,1.0,0.9987004823752921,0.9915248850562536,0.9985097922890578,1.0,1.0,0.9994867684632908,1.0004510216534717,1.0
iis-bupa-cov,6020.45,6002.49,6023.92,6019.34,177598.0,177598.0,177598.0,177598.0,1004.2341185858515,1005.9875793637025,1000.5821739582973,1001.5314158831488,ok,ok,ok,ok,10113366.0,10113366.0,10113366.0,10113366.0,1.0,1.0,1.0,1.0,1.0001840997522116,0.9972053325903001,1.000759618797414,1.0,1.0013503174025926,1.0022263769857378,0.9995257421805529,1.0
iis-pima-cov,809.73,806.24,805.3,805.74,8936.0,8936.0,8936.0,8936.0,1110.644181922646,1088.5925093106598,1107.1027927118603,1087.6946764933223,ok,ok,ok,ok,694807.0,694807.0,694807.0,694807.0,1.0,1.0,1.0,1.0,1.0048912643734524,1.0006129403976758,0.9994606124500452,1.0,1.0109927498918911,1.0004300594466455,1.0092964342138082,1.0
k16x240,2346.57,2340.29,2961.71,2977.08,1012176.0,1012176.0,1289065.0,1289065.0,62.410864515847564,62.61231088145496,128.71857979772065,127.68318453447371,ok,ok,ok,ok,10775190.0,10775190.0,13633517.0,13633517.0,0.7852016771846261,0.7852016771846261,1.0,1.0,0.7889209529038392,0.7868185652878397,0.9948545067423705,1.0,0.9421182111130162,0.9422968484895152,1.0009181614813867,1.0
lectsched-1,109.15,108.43,108.75,108.9,1686.0,1686.0,1686.0,1686.0,10900.0,10800.0,10900.0,10900.0,ok,ok,ok,ok,82246.0,82246.0,82246.0,82246.0,1.0,1.0,1.0,1.0,1.0021026072329688,0.9960470984020185,0.9987384356602186,1.0,1.0,0.9915966386554622,1.0,1.0
leo1,4498.06,3445.4,4499.6,4484.55,602050.0,482314.0,602050.0,602050.0,4318.656565929206,3574.529318328471,4317.752528924573,4302.777110236272,ok,ok,ok,ok,15320867.0,11937531.0,15320867.0,15320867.0,1.0,0.8011195083464828,1.0,1.0,1.0030058626558833,0.7687977661834888,1.003348499849818,1.0,1.0029945546197447,0.8626667165583822,1.0028240709305682,1.0
lrn,898.02,1018.78,960.23,807.22,30503.0,37602.0,30298.0,31986.0,4526.448242376277,4557.439954503126,4551.382573448484,4538.490989654142,ok,ok,ok,ok,306338.0,325464.0,329964.0,329689.0,0.9536359657350091,1.1755768148564998,0.9472269117739011,1.0,1.1111083918651037,1.258877658402878,1.18723232422114,1.0,0.9978256266372265,1.003421322682366,1.002327634696603,1.0
macrophage,182.98,182.6,182.68,183.69,5735.0,5735.0,5735.0,5735.0,431.1272280825078,424.1259902738073,425.2241355450066,431.01549524450326,ok,ok,ok,ok,489175.0,489175.0,489175.0,489175.0,1.0,1.0,1.0,1.0,0.9963343487015334,0.9943724508234808,0.9947854819557025,1.0,1.0000780794047135,0.9951855832493841,0.9959529720546408,1.0
map06,725.82,822.12,778.48,1094.21,490.0,627.0,573.0,965.0,7632.2145328719735,9890.452982698962,7315.162698961937,19657.301038062287,ok,ok,ok,ok,265112.0,302795.0,282393.0,488234.0,0.5077720207253886,0.649740932642487,0.5937823834196891,1.0,0.6663768667191929,0.7535885384120774,0.7140670705753435,1.0,0.41787717170634314,0.5271963148831817,0.40252899851925295,1.0
map10,993.64,958.48,981.79,921.62,1304.0,1126.0,1071.0,1215.0,12045.608262626261,11677.232323232323,11764.369838383838,11623.49494949495,ok,ok,ok,ok,440905.0,411360.0,419422.0,412442.0,1.0732510288065844,0.9267489711934156,0.8814814814814815,1.0,1.0773061978059724,1.0395654880745369,1.0645864193555312,1.0,1.0334387041639526,1.0042569331197397,1.0111597374144412,1.0
map14,806.68,824.84,808.03,806.4,879.0,879.0,879.0,879.0,3349.940652818991,3354.2284866468844,3350.237388724036,3349.6439169139467,ok,ok,ok,ok,264541.0,264541.0,264541.0,264541.0,1.0,1.0,1.0,1.0,1.000342969132778,1.0225869671729546,1.0019965703086722,1.0,1.0000682207350102,1.0010540103559076,1.0001364414700205,1.0
map18,346.27,351.36,336.64,336.75,239.0,239.0,239.0,239.0,1681.086186540732,1676.1983471074382,1671.310507674144,1686.198347107438,ok,ok,ok,ok,90452.0,90452.0,90452.0,90452.0,1.0,1.0,1.0,1.0,1.0274549387166545,1.0421341023792359,0.9996827685652487,1.0,0.9980968789694137,0.9962772667138418,0.9944576544582697,1.0
map20,235.28,247.09,236.74,233.59,255.0,255.0,255.0,255.0,1410.715835140998,1410.108459869848,1408.9370932754882,1406.4425162689804,ok,ok,ok,ok,93513.0,93513.0,93513.0,93513.0,1.0,1.0,1.0,1.0,1.0069378874338026,1.0554209942936903,1.0129315653351945,1.0,1.0017757826514149,1.0015233871476603,1.0010366243904198,1.0
mas74,1877.64,1895.16,1890.7,1883.35,4111925.0,4111925.0,4111925.0,4111925.0,315.1247307999748,315.04679175935047,317.4142021621278,314.5793672782553,ok,ok,ok,ok,16640223.0,16640223.0,16640223.0,16640223.0,1.0,1.0,1.0,1.0,0.9969841814772759,1.0062376211477013,1.0038820080809148,1.0,1.000414857813301,1.0003555696162059,1.002156457764693,1.0
mas76,164.97,164.22,163.02,163.59,272368.0,272368.0,272368.0,272368.0,14.375679591166067,7.121882874265098,7.121870575819042,14.058943028466327,ok,ok,ok,ok,1165770.0,1165770.0,1165770.0,1165770.0,1.0,1.0,1.0,1.0,1.0079497666916297,1.003629241315744,0.9967164007143269,1.0,1.0003123453176734,0.9931591154519246,0.9931591033239845,1.0
mc11,407.19,408.26,407.7,441.93,7470.0,7470.0,7470.0,8600.0,690.1832968209862,685.1473479349879,695.6832532473803,694.7446168337999,ok,ok,ok,ok,227256.0,227256.0,227256.0,230304.0,0.8686046511627907,0.8686046511627907,0.8686046511627907,1.0,0.9231296882260527,0.9254973115305467,0.9242581815767928,1.0,0.9973085502278595,0.9943370412252779,1.000553851243578,1.0
mcsched,280.89,280.61,278.81,281.83,8693.0,8693.0,8693.0,8693.0,158.10721086428177,158.10067682721652,155.422567391731,172.02828296707904,ok,ok,ok,ok,536268.0,536268.0,536268.0,536268.0,1.0,1.0,1.0,1.0,0.9967789466470205,0.9958194839461332,0.9896515094404277,1.0,0.9881222387675193,0.9881166637851062,0.9858316426176087,1.0
