Group,Settings,_abort_,_count_,_dualfail_,_fail_,_limit_,_primfail_,_solved_,_time_,_unkn_,Time_shmean(1.0),Nodes_shmean(100.0),PInt_avg,Time_shmean(1.0)Q,Nodes_shmean(100.0)Q,PInt_avgQ,Time_shmean(1.0)p,Nodes_shmean(100.0)p
All,alns_e,0.0,665,0.0,1.0,264.0,1.0,400.0,263.0,0.0,358.60744501184746,5178.360157711894,77204.62197965092,0.981084900231514,0.9802758039946674,0.9789039246457999,0.20159204056680513,0.056817118298852116
All,alns_g,0.0,665,0.0,0.0,267.0,0.0,398.0,266.0,0.0,360.9016176094309,5106.936023939811,78001.49016422736,0.9873613401808844,0.9667550468387981,0.9890076901109407,0.03477633174783656,0.00011497931531662013
All,alns_u,0.0,665,0.0,0.0,265.0,0.0,400.0,264.0,0.0,360.1692159933176,5146.878289835516,76516.88341777226,0.9853576222534717,0.9743162120767875,0.9701838511567965,0.9906113126204447,0.0002990909876876666
All,no-alns,0.0,665,0.0,0.0,266.0,0.0,399.0,265.0,0.0,365.521317194082,5282.554294015875,78868.43645824194,1.0,1.0,1.0,,
alloptimal,alns_e,0.0,394,0.0,0.0,0.0,0.0,394.0,0.0,0.0,45.919165719586786,1053.0634049014552,10548.872226328223,0.9712036423308651,0.9671935207792283,0.9883470421107851,0.321322141691193,0.05594374563106582
alloptimal,alns_g,0.0,394,0.0,0.0,0.0,0.0,394.0,0.0,0.0,46.322402162625934,1037.026711138916,10559.809771717531,0.9797322097833245,0.9524645061447294,0.9893718047964583,0.02569354015606475,0.015331056516306852
alloptimal,alns_u,0.0,394,0.0,0.0,0.0,0.0,394.0,0.0,0.0,46.0374887688863,1050.321372790585,10542.72941294926,0.9737062090620016,0.9646750820232537,0.9877715084136204,0.90707273583657,0.013878095095503609
alloptimal,no-alns,0.0,394,0.0,0.0,0.0,0.0,394.0,0.0,0.0,47.2806770054753,1088.782526223961,10673.247125624308,1.0,1.0,1.0,,
"[10,7200]",alns_e,0.0,267,0.0,1.0,2.0,1.0,264.0,2.0,0.0,210.76192511742414,3579.6722838831865,18307.055534530286,0.9798534786233998,0.9766932411092036,0.8910551044957699,0.9981877855630036,0.08448815095788433
"[10,7200]",alns_g,0.0,267,0.0,0.0,5.0,0.0,262.0,5.0,0.0,212.63837638292543,3570.960575612988,19114.974599262274,0.9885772900943015,0.9743163010121098,0.9303787633600273,0.06308830450816805,0.09454874164886314
