Settings,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns
,Time,Time,Time,Time,Nodes,Nodes,Nodes,Nodes,PInt,PInt,PInt,PInt,Status,Status,Status,Status,LP_Iterations_dualLP,LP_Iterations_dualLP,LP_Iterations_dualLP,LP_Iterations_dualLP,NodesQ,NodesQ,NodesQ,NodesQ,TimeQ+10,TimeQ+10,TimeQ+10,TimeQ+10,PIntQ+1000,PIntQ+1000,PIntQ+1000,PIntQ+1000
ProblemName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10teams,12.71,13.23,13.02,12.14,805.0,805.0,805.0,805.0,558.4810126582279,598.7341772151899,588.4810126582279,605.6962025316456,ok,ok,ok,ok,49927.0,49927.0,49927.0,49927.0,1.0,1.0,1.0,1.0,1.0257452574525745,1.0492321589882565,1.0397470641373079,1.0,0.9705951911706739,0.9956641702798581,0.9892786756011036,1.0
22433,2.92,2.71,2.73,2.73,5.0,5.0,5.0,5.0,290.0,270.0,270.0,270.0,ok,ok,ok,ok,3538.0,3538.0,3538.0,3538.0,1.0,1.0,1.0,1.0,1.0149253731343284,0.9984289080911234,1.0,1.0,1.015748031496063,1.0,1.0,1.0
23588,5.76,5.8,5.63,5.62,503.0,503.0,503.0,503.0,212.33395325989915,222.27380675346166,202.3242310555155,202.2445253534922,ok,ok,ok,ok,11110.0,11110.0,11110.0,11110.0,1.0,1.0,1.0,1.0,1.0089628681177976,1.0115236875800255,1.000640204865557,1.0,1.0083921595762229,1.016659906514509,1.0000662974131656,1.0
30n20b8,256.29,254.62,253.65,253.66,687.0,687.0,687.0,687.0,15902.403753558281,15769.070420224947,15735.737086891613,15814.45920865171,ok,ok,ok,ok,470870.0,470870.0,470870.0,470870.0,1.0,1.0,1.0,1.0,1.0099749677615113,1.003641052871122,0.9999620723659258,1.0,1.0052302927983152,0.997300609679828,0.9953181889002062,1.0
Test3,4.85,4.9,4.85,4.73,2.0,2.0,2.0,2.0,195.37280247989824,195.3728087824457,195.37280247989824,195.3727956275139,ok,ok,ok,ok,2965.0,2965.0,2965.0,2965.0,1.0,1.0,1.0,1.0,1.0081466395112015,1.011541072640869,1.0081466395112015,1.0,1.0000000057324245,1.0000000110048781,1.0000000057324245,1.0
acc-tight4,170.16,170.19,170.47,170.63,634.0,634.0,634.0,634.0,17000.0,17000.0,17000.0,17100.0,ok,ok,ok,ok,598405.0,598405.0,598405.0,598405.0,1.0,1.0,1.0,1.0,0.9973979959032276,0.9975640812711067,0.9991142113713115,1.0,0.994475138121547,0.994475138121547,0.994475138121547,1.0
acc-tight5,118.09,116.86,116.37,116.42,815.0,815.0,815.0,815.0,11800.0,11700.0,11600.0,11600.0,ok,ok,ok,ok,410364.0,410364.0,410364.0,410364.0,1.0,1.0,1.0,1.0,1.0132099351368455,1.0034804619522226,0.9996044929599747,1.0,1.0158730158730158,1.007936507936508,1.0,1.0
acc-tight6,70.64,71.0,70.68,70.41,202.0,202.0,202.0,202.0,7059.999999999999,7100.0,7070.0,7040.000000000001,ok,ok,ok,ok,200386.0,200386.0,200386.0,200386.0,1.0,1.0,1.0,1.0,1.0028603407536376,1.007337395846288,1.0033577913194878,1.0,1.0024875621890545,1.007462686567164,1.003731343283582,1.0
aflow30a,26.67,26.9,26.61,26.56,454.0,454.0,454.0,454.0,718.2475722203341,752.9353914107577,735.5828536878497,718.2389440926378,ok,ok,ok,ok,24846.0,24846.0,24846.0,24846.0,1.0,1.0,1.0,1.0,1.0030087527352298,1.0092997811816191,1.0013676148796498,1.0,1.000005021494668,1.0201930281218499,1.010094003313591,1.0
aflow40b,899.96,898.45,900.05,893.87,29572.0,29572.0,29572.0,29572.0,3867.836482047637,3861.348902478234,3879.4731922921774,3725.4992414332532,ok,ok,ok,ok,1574298.0,1574298.0,1574298.0,1574298.0,1.0,1.0,1.0,1.0,1.0067376945799729,1.0050671003573524,1.006837266421056,1.0,1.03012110114554,1.0287482134911479,1.0325836367740528,1.0
air03,2.45,2.72,2.86,2.68,2.0,2.0,2.0,2.0,62.98456343918228,83.30572100024469,96.11378709137966,94.13296315089823,ok,ok,ok,ok,1164.0,1164.0,1164.0,1164.0,1.0,1.0,1.0,1.0,0.9818611987381703,1.003154574132492,1.0141955835962144,1.0,0.9715314310410552,0.9901042720443473,1.0018104051401369,1.0
air04,26.75,26.7,26.45,26.63,169.0,169.0,169.0,169.0,261.94513670723074,251.9720687691372,221.94976527851836,251.50640168568262,ok,ok,ok,ok,23277.0,23277.0,23277.0,23277.0,1.0,1.0,1.0,1.0,1.0032760032760033,1.001911001911002,0.9950859950859953,1.0,1.0083409361769846,1.0003720852588747,0.976383152041928,1.0
air05,17.65,18.53,17.59,16.97,219.0,219.0,219.0,219.0,171.75336958884603,192.56477076950415,205.61296936420786,165.73433038949733,ok,ok,ok,ok,17633.0,17633.0,17633.0,17633.0,1.0,1.0,1.0,1.0,1.0252131998516871,1.0578420467185763,1.0229885057471264,1.0,1.005163302686074,1.0230159133865795,1.0342090285368761,1.0
aligninq,16.43,16.46,16.24,16.29,43.0,43.0,43.0,43.0,380.0,380.0,370.0,370.0,ok,ok,ok,ok,7482.0,7482.0,7482.0,7482.0,1.0,1.0,1.0,1.0,1.00532521871434,1.0064663370102702,0.99809813617345,1.0,1.0072992700729928,1.0072992700729928,1.0,1.0
ash608gpia-3col,60.86,60.64,60.74,60.97,5.0,5.0,5.0,5.0,6086.0,6064.0,6074.0,6097.0,ok,ok,ok,ok,14580.0,14580.0,14580.0,14580.0,1.0,1.0,1.0,1.0,0.9984500493166126,0.995350147949838,0.9967591940256448,1.0,0.9984500493166126,0.995350147949838,0.9967591940256446,1.0
bab5,677.25,1115.79,871.34,2818.94,10248.0,17491.0,11130.0,58915.0,2746.375755722883,2737.0817104956755,2707.2368996032424,2895.612975584667,ok,ok,ok,ok,429837.0,825547.0,635894.0,2147847.0,0.17394551472460323,0.2968853432911822,0.18891623525417975,1.0,0.24293551648320572,0.39795471095180524,0.3115442533245668,1.0,0.9616909531832057,0.959305180960591,0.9516440475062459,1.0
bc,1146.47,1144.77,1150.95,1142.9,16925.0,16925.0,16925.0,16925.0,15355.652173913046,15301.44927536232,15684.927536231886,15302.318840579712,ok,ok,ok,ok,453883.0,453883.0,453883.0,453883.0,1.0,1.0,1.0,1.0,1.003096539162113,1.001621996703964,1.0069823922282939,1.0,1.0032715182333802,0.9999466600288035,1.023469587326423,1.0
bc1,254.03,251.42,253.9,247.09,2892.0,2892.0,2892.0,2892.0,6265.45803389565,6195.444981505342,6305.716264927168,6164.5102411618445,ok,ok,ok,ok,86952.0,86952.0,86952.0,86952.0,1.0,1.0,1.0,1.0,1.0269944377455364,1.0168423509276905,1.026488778248862,1.0,1.014089978147262,1.0043177746003864,1.0197090965065638,1.0
beasleyC3,98.84,107.98,76.12,71.79,2050.0,2606.0,1161.0,1334.0,532.3632774429309,514.7775774975743,503.56555301140247,556.3835474562327,ok,ok,ok,ok,156801.0,176451.0,111695.0,108265.0,1.5367316341829085,1.9535232383808097,0.8703148425787106,1.0,1.3307250275094755,1.442474630150385,1.0529404572686147,1.0,0.9845666127397962,0.9732675341970433,0.9660636386633896,1.0
bell3a,7.97,8.2,8.31,8.16,15087.0,15087.0,15087.0,15087.0,1.4516803124775601e-05,1.493573219863989e-05,1.5136089581792378e-05,0.1282896787989721,ok,ok,ok,ok,23063.0,23063.0,23063.0,23063.0,1.0,1.0,1.0,1.0,0.9895374449339206,1.002202643171806,1.0082599118942732,1.0,0.9998717412922726,0.9998717417111479,0.9998717419114795,1.0
bell5,0.79,1.18,1.05,0.74,660.0,660.0,660.0,660.0,10.000003782284464,10.106443518465582,10.106442805861262,0.11967013149331865,ok,ok,ok,ok,1490.0,1490.0,1490.0,1490.0,1.0,1.0,1.0,1.0,1.004655493482309,1.0409683426443201,1.0288640595903167,1.0,1.0098791514114427,1.0099855784114906,1.0099855776989717,1.0
biella1,721.73,234.03,722.47,708.99,7425.0,2206.0,7425.0,7425.0,2495.2466281875013,1995.2869841179938,2520.929094231272,2418.4799528423787,ok,ok,ok,ok,1324809.0,355486.0,1324809.0,1324809.0,1.0,0.2971043771043771,1.0,1.0,1.0177193006856842,0.3394066676866159,1.0187485222325763,1.0,1.0224563772214879,0.8762043438714593,1.0299692093568398,1.0
bienst1,35.47,35.95,35.71,35.17,14647.0,14647.0,14647.0,14647.0,150.66063890485012,178.8236018678131,169.89113132909256,149.02146605712602,ok,ok,ok,ok,585111.0,585111.0,585111.0,585111.0,1.0,1.0,1.0,1.0,1.0066415762674341,1.0172680982953288,1.0119548372813814,1.0,1.0014265815706203,1.0259369704492582,1.0181629898905031,1.0
bienst2,342.3,343.33,341.52,342.69,68349.0,68349.0,68349.0,68349.0,471.14306852704567,499.85337679879353,466.87253034532023,474.05506878912576,ok,ok,ok,ok,4652252.0,4652252.0,4652252.0,4652252.0,1.0,1.0,1.0,1.0,0.9988942130482861,1.0018146247412743,0.996682639144858,1.0,0.9980244969650475,1.0175015903787503,0.9951273608456802,1.0
binkar10_1,6.33,49.6,48.38,49.03,251.0,3731.0,3731.0,3731.0,48.76516607034804,51.9470613302106,33.27867614404779,36.59770127501732,ok,ok,ok,ok,6767.0,77045.0,77045.0,77045.0,0.06727418922540873,1.0,1.0,1.0,0.27663899712010837,1.0096561070642047,0.9889886498390649,1.0,1.0117378851799157,1.014807441726249,0.996798155034603,1.0
blend2,2.04,2.37,2.27,4.57,1003.0,1003.0,962.0,4877.0,18.762155752725654,29.375345558474056,30.364218531519384,217.01004320526133,ok,ok,ok,ok,4581.0,4581.0,4524.0,17414.0,0.2056592167315973,0.2056592167315973,0.19725240926799262,1.0,0.8263555250514756,0.8490048043925875,0.8421413864104323,1.0,0.837102504979822,0.8458232134612378,0.8466357564460442,1.0
bley_xl1,176.6,177.68,176.49,177.14,1.0,1.0,1.0,1.0,16732.868852459018,16832.868852459018,16727.868852459018,16795.16393442623,ok,ok,ok,ok,17987.0,17987.0,17987.0,17987.0,1.0,1.0,1.0,1.0,0.9971144597627445,1.0028855402372556,0.9965266645292296,1.0,0.9964993251988706,1.0021188294848942,0.9962183499845695,1.0
bnatt350,1092.91,1094.76,1093.64,1105.6,7566.0,7566.0,7566.0,7566.0,109300.0,109500.0,109400.0,110600.0,ok,ok,ok,ok,3781218.0,3781218.0,3781218.0,3781218.0,1.0,1.0,1.0,1.0,0.9886249551810686,0.9902832556471854,0.9892793115812121,1.0,0.9883512544802867,0.9901433691756273,0.989247311827957,1.0
bnatt400,1301.5,1300.09,1295.86,1307.2,7966.0,7966.0,7966.0,7966.0,101100.0,101000.0,100700.0,101400.0,ok,ok,ok,ok,3686780.0,3686780.0,3686780.0,3686780.0,1.0,1.0,1.0,1.0,0.9956726389310658,0.994602186456119,0.9913908290312784,1.0,0.9970703125,0.99609375,0.9931640625,1.0
cap6000,4.6,4.9,5.41,4.57,2047.0,2047.0,2307.0,2047.0,29.467397303637913,59.46739730363791,66.06908688463666,29.467111749845085,ok,ok,ok,ok,4223.0,4223.0,5257.0,4223.0,1.0,1.0,1.1270151441133367,1.0,1.0020590253946464,1.022649279341112,1.0576527110501028,1.0,1.0000002773801995,1.0291415677211868,1.0355542928152186,1.0
core2536-691,58.52,57.74,49.27,108.43,119.0,119.0,119.0,156.0,272.9714176476993,272.9898707016642,249.0570071978771,357.21735565589734,ok,ok,ok,ok,59130.0,59130.0,42368.0,66914.0,0.7628205128205128,0.7628205128205128,0.7628205128205128,1.0,0.5785696191843284,0.5719834501393228,0.5004644093557375,1.0,0.9379274530662889,0.9379410493070737,0.9203072757600053,1.0
cov1075,134.58,135.0,134.58,134.64,20321.0,20321.0,20321.0,20321.0,166.39845661584792,166.79371353284395,166.39845661584792,165.96555618294747,ok,ok,ok,ok,910767.0,910767.0,910767.0,910767.0,1.0,1.0,1.0,1.0,0.9995851769911506,1.0024889380530975,0.9995851769911506,1.0,1.000371280635697,1.0007102759987248,1.000371280635697,1.0
csched007,2802.31,2748.7,2748.24,2739.8,271924.0,271924.0,271924.0,271924.0,5341.229357187797,5238.900415564046,5243.409141412028,5204.218084258448,ok,ok,ok,ok,25497397.0,25497397.0,25497397.0,25497397.0,1.0,1.0,1.0,1.0,1.0227325623681722,1.0032365990253835,1.0030693141319367,1.0,1.0220835681577634,1.0055901212424487,1.0063168406753813,1.0
csched008,445.88,445.77,446.42,445.86,42039.0,42039.0,42039.0,42039.0,1454.4614471924951,1464.3875408171634,1454.9703027251164,1424.4010130191186,ok,ok,ok,ok,6288830.0,6288830.0,6288830.0,6288830.0,1.0,1.0,1.0,1.0,1.00004387311894,0.9998025709647698,1.0012284473303208,1.0,1.0123991179726253,1.016493363755961,1.0126090071493286,1.0
csched010,2566.71,2568.67,2569.12,2566.79,216547.0,216547.0,216547.0,216547.0,4818.876841651969,4832.240085405726,4829.157586251672,4817.1164865077635,ok,ok,ok,ok,23385760.0,23385760.0,23385760.0,23385760.0,1.0,1.0,1.0,1.0,0.99996895362059,1.000729589916136,1.0009042258003173,1.0,1.000302616450657,1.0025998446022253,1.0020699430330882,1.0
dano3_3,69.4,69.04,53.97,67.92,2.0,2.0,23.0,11.0,534.9642397899402,534.9642397899402,576.868971368073,534.590635926926,ok,ok,ok,ok,45042.0,45042.0,34667.0,136290.0,0.18181818181818182,0.18181818181818182,2.090909090909091,1.0,1.018993839835729,1.0143737166324436,0.8209702258726899,1.0,1.0002434550649975,1.0002434550649975,1.027550236819743,1.0
dano3_4,81.98,82.36,61.89,36.74,2.0,2.0,2.0,2.0,457.1017190170934,477.1211145590621,437.265770033953,477.26577003395295,ok,ok,ok,ok,60666.0,60666.0,60666.0,60666.0,1.0,1.0,1.0,1.0,1.9679075738125802,1.9760376551133931,1.5380830124090714,1.0,0.9863504242595452,0.9999020789096822,0.972922949403288,1.0
dano3_5,158.41,183.36,165.62,158.91,139.0,178.0,193.0,139.0,375.83048069792795,376.2573775654858,399.2480006094478,396.0606260802268,ok,ok,ok,ok,108063.0,166411.0,116892.0,108063.0,1.0,1.2805755395683454,1.3884892086330936,1.0,0.9970398437037475,1.1447516428867446,1.0397252974957079,1.0,0.9855091211625243,0.9858149079310806,1.0022831204244835,1.0
danoint,5845.53,5846.66,5840.62,5956.88,1509084.0,1527197.0,1509084.0,1509084.0,584.3766902675674,758.5586315716426,585.462847678858,598.4557042244147,ok,ok,ok,ok,68449991.0,70301362.0,68449991.0,68449991.0,1.0,1.012002645313316,1.0,1.0,0.9813386560480518,0.98152803475183,0.9805157804413697,1.0,0.9911921150397606,1.1001610034761091,0.9918716192690114,1.0
dcmulti,2.61,2.59,2.13,2.28,88.0,88.0,88.0,135.0,14.738231182641348,14.720628248176528,13.811580916267369,14.051772461398992,ok,ok,ok,ok,2543.0,2543.0,2533.0,2757.0,0.6518518518518519,0.6518518518518519,0.6518518518518519,1.0,1.026872964169381,1.0252442996742672,0.987785016286645,1.0,1.000676946424122,1.0006595874145106,0.9997631368026225,1.0
dfn-gwin-UUM,76.14,67.57,68.11,87.73,23863.0,18970.0,18970.0,29181.0,156.2775305663808,166.399109246802,166.14841121243262,169.2616165262088,ok,ok,ok,ok,537462.0,463153.0,463153.0,623077.0,0.8177581302902573,0.650080531852918,0.650080531852918,1.0,0.8814079607080733,0.7937173846311265,0.7992428118285071,1.0,0.9888954826051651,0.997551867572707,0.9973374604367623,1.0
disctom,1.97,1.97,1.62,1.63,1.0,1.0,1.0,1.0,200.0,200.0,160.0,160.0,ok,ok,ok,ok,1965.0,1965.0,1965.0,1965.0,1.0,1.0,1.0,1.0,1.0292347377472058,1.0292347377472058,0.9991401547721411,1.0,1.0344827586206897,1.0344827586206897,1.0,1.0
