Settings,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns
,Time,Time,Time,Time,Nodes,Nodes,Nodes,Nodes,PInt,PInt,PInt,PInt,Status,Status,Status,Status,LP_Iterations_dualLP,LP_Iterations_dualLP,LP_Iterations_dualLP,LP_Iterations_dualLP,NodesQ,NodesQ,NodesQ,NodesQ,TimeQ+10,TimeQ+10,TimeQ+10,TimeQ+10,PIntQ+1000,PIntQ+1000,PIntQ+1000,PIntQ+1000
ProblemName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22433,2.92,2.71,2.73,2.73,5.0,5.0,5.0,5.0,290.0,270.0,270.0,270.0,ok,ok,ok,ok,3538.0,3538.0,3538.0,3538.0,1.0,1.0,1.0,1.0,1.0149253731343284,0.9984289080911234,1.0,1.0,1.015748031496063,1.0,1.0,1.0
23588,5.76,5.8,5.63,5.62,503.0,503.0,503.0,503.0,212.33395325989915,222.27380675346166,202.3242310555155,202.2445253534922,ok,ok,ok,ok,11110.0,11110.0,11110.0,11110.0,1.0,1.0,1.0,1.0,1.0089628681177976,1.0115236875800255,1.000640204865557,1.0,1.0083921595762229,1.016659906514509,1.0000662974131656,1.0
Test3,4.85,4.9,4.85,4.73,2.0,2.0,2.0,2.0,195.37280247989824,195.3728087824457,195.37280247989824,195.3727956275139,ok,ok,ok,ok,2965.0,2965.0,2965.0,2965.0,1.0,1.0,1.0,1.0,1.0081466395112015,1.011541072640869,1.0081466395112015,1.0,1.0000000057324245,1.0000000110048781,1.0000000057324245,1.0
aligninq,16.43,16.46,16.24,16.29,43.0,43.0,43.0,43.0,380.0,380.0,370.0,370.0,ok,ok,ok,ok,7482.0,7482.0,7482.0,7482.0,1.0,1.0,1.0,1.0,1.00532521871434,1.0064663370102702,0.99809813617345,1.0,1.0072992700729928,1.0072992700729928,1.0,1.0
bc,1146.47,1144.77,1150.95,1142.9,16925.0,16925.0,16925.0,16925.0,15355.652173913046,15301.44927536232,15684.927536231886,15302.318840579712,ok,ok,ok,ok,453883.0,453883.0,453883.0,453883.0,1.0,1.0,1.0,1.0,1.003096539162113,1.001621996703964,1.0069823922282939,1.0,1.0032715182333802,0.9999466600288035,1.023469587326423,1.0
bc1,254.03,251.42,253.9,247.09,2892.0,2892.0,2892.0,2892.0,6265.45803389565,6195.444981505342,6305.716264927168,6164.5102411618445,ok,ok,ok,ok,86952.0,86952.0,86952.0,86952.0,1.0,1.0,1.0,1.0,1.0269944377455364,1.0168423509276905,1.026488778248862,1.0,1.014089978147262,1.0043177746003864,1.0197090965065638,1.0
bienst1,35.47,35.95,35.71,35.17,14647.0,14647.0,14647.0,14647.0,150.66063890485012,178.8236018678131,169.89113132909256,149.02146605712602,ok,ok,ok,ok,585111.0,585111.0,585111.0,585111.0,1.0,1.0,1.0,1.0,1.0066415762674341,1.0172680982953288,1.0119548372813814,1.0,1.0014265815706203,1.0259369704492582,1.0181629898905031,1.0
bienst2,342.3,343.33,341.52,342.69,68349.0,68349.0,68349.0,68349.0,471.14306852704567,499.85337679879353,466.87253034532023,474.05506878912576,ok,ok,ok,ok,4652252.0,4652252.0,4652252.0,4652252.0,1.0,1.0,1.0,1.0,0.9988942130482861,1.0018146247412743,0.996682639144858,1.0,0.9980244969650475,1.0175015903787503,0.9951273608456802,1.0
binkar10_1,6.33,49.6,48.38,49.03,251.0,3731.0,3731.0,3731.0,48.76516607034804,51.9470613302106,33.27867614404779,36.59770127501732,ok,ok,ok,ok,6767.0,77045.0,77045.0,77045.0,0.06727418922540873,1.0,1.0,1.0,0.27663899712010837,1.0096561070642047,0.9889886498390649,1.0,1.0117378851799157,1.014807441726249,0.996798155034603,1.0
d10200,7200.0,7200.0,7200.0,7200.0,500508.0,499021.0,499427.0,499266.0,750.1603748113066,750.7799632075494,750.5802644724486,750.8338195107393,timelimit,timelimit,timelimit,timelimit,20578148.0,20510723.0,20531201.0,20523124.0,1.0024876518729495,0.9995092796224858,1.000322473390938,1.0,1.0,1.0,1.0,1.0,0.9996153577273136,0.9999692396259485,0.9998551804086343,1.0
d20200,7200.0,7200.0,7200.0,7200.0,162756.0,162349.0,162020.0,163536.0,1127.0948559825326,1120.5444539376954,1124.2405661114124,1120.5444539376954,timelimit,timelimit,timelimit,timelimit,22440651.0,22387069.0,22343471.0,22546574.0,0.9952304079835632,0.9927416593288328,0.990729869875746,1.0,1.0,1.0,1.0,1.0,1.0030890189699508,1.0,1.0017430015045683,1.0
dano3_3,69.4,69.04,53.97,67.92,2.0,2.0,23.0,11.0,534.9642397899402,534.9642397899402,576.868971368073,534.590635926926,ok,ok,ok,ok,45042.0,45042.0,34667.0,136290.0,0.18181818181818182,0.18181818181818182,2.090909090909091,1.0,1.018993839835729,1.0143737166324436,0.8209702258726899,1.0,1.0002434550649975,1.0002434550649975,1.027550236819743,1.0
dano3_4,81.98,82.36,61.89,36.74,2.0,2.0,2.0,2.0,457.1017190170934,477.1211145590621,437.265770033953,477.26577003395295,ok,ok,ok,ok,60666.0,60666.0,60666.0,60666.0,1.0,1.0,1.0,1.0,1.9679075738125802,1.9760376551133931,1.5380830124090714,1.0,0.9863504242595452,0.9999020789096822,0.972922949403288,1.0
dano3_5,158.41,183.36,165.62,158.91,139.0,178.0,193.0,139.0,375.83048069792795,376.2573775654858,399.2480006094478,396.0606260802268,ok,ok,ok,ok,108063.0,166411.0,116892.0,108063.0,1.0,1.2805755395683454,1.3884892086330936,1.0,0.9970398437037475,1.1447516428867446,1.0397252974957079,1.0,0.9855091211625243,0.9858149079310806,1.0022831204244835,1.0
fiball,7200.0,7200.0,7200.0,7200.0,28520.0,28499.0,28567.0,28731.0,15840.682801444429,15984.020156609904,15825.855555208393,15812.60965914234,timelimit,timelimit,timelimit,timelimit,1004878.0,1004268.0,1007048.0,1011065.0,0.9926560161498034,0.9919250983258501,0.994291879851032,1.0,1.0,1.0,1.0,1.0,1.001669767089776,1.0101953534247645,1.0007878548502938,1.0
germanrr,7200.0,7200.0,7200.0,7200.0,3502.0,3504.0,3203.0,3502.0,58915.19919309785,59013.04577419121,51677.90647930515,59019.94306294967,timelimit,timelimit,timelimit,timelimit,5572613.0,5573367.0,5531434.0,5572613.0,1.0,1.0005711022272987,0.9146202170188463,1.0,1.0,1.0,1.0,1.0,0.9982548488967747,0.9998850833838475,0.877673383062958,1.0
haprp,0.64,0.68,0.63,0.61,1.0,1.0,1.0,1.0,19.69984826623478,21.63981750132696,19.6998481791192,19.699848004888043,ok,ok,ok,ok,684.0,684.0,684.0,684.0,1.0,1.0,1.0,1.0,1.002827521206409,1.006597549481621,1.0018850141376061,1.0,1.0000000002562976,1.0019024907184546,1.000000000170865,1.0
leo1,4498.06,3445.4,4499.6,4484.55,602050.0,482314.0,602050.0,602050.0,4318.656565929206,3574.529318328471,4317.752528924573,4302.777110236272,ok,ok,ok,ok,15320867.0,11937531.0,15320867.0,15320867.0,1.0,0.8011195083464828,1.0,1.0,1.0030058626558833,0.7687977661834888,1.003348499849818,1.0,1.0029945546197447,0.8626667165583822,1.0028240709305682,1.0
leo2,7200.0,7200.0,7200.0,7200.0,257839.0,201931.0,259908.0,266950.0,15383.753500052408,21447.400160105313,15996.39012937075,16900.78880235433,timelimit,timelimit,timelimit,timelimit,21689841.0,19835764.0,21991741.0,22000443.0,0.9658700131110695,0.7564375351189361,0.9736205281887994,1.0,1.0,1.0,1.0,1.0,0.9152531590059092,1.2539894419151523,0.9494771608687639,1.0
lrn,898.02,1018.78,960.23,807.22,30503.0,37602.0,30298.0,31986.0,4526.448242376277,4557.439954503126,4551.382573448484,4538.490989654142,ok,ok,ok,ok,306338.0,325464.0,329964.0,329689.0,0.9536359657350091,1.1755768148564998,0.9472269117739011,1.0,1.1111083918651037,1.258877658402878,1.18723232422114,1.0,0.9978256266372265,1.003421322682366,1.002327634696603,1.0
mcsched,280.89,280.61,278.81,281.83,8693.0,8693.0,8693.0,8693.0,158.10721086428177,158.10067682721652,155.422567391731,172.02828296707904,ok,ok,ok,ok,536268.0,536268.0,536268.0,536268.0,1.0,1.0,1.0,1.0,0.9967789466470205,0.9958194839461332,0.9896515094404277,1.0,0.9881222387675193,0.9881166637851062,0.9858316426176087,1.0
mkc1,55.83,46.96,33.26,34.76,6849.0,3682.0,2428.0,2852.0,50.592400943994434,48.04715690036512,86.57027998689078,90.48759319309563,ok,ok,ok,ok,66868.0,42617.0,34973.0,40446.0,2.4014726507713884,1.2910238429172511,0.8513323983169705,1.0,1.470732797140304,1.2725647899910635,0.9664879356568364,1.0,0.9634152717572121,0.9610812295732232,0.9964077416096643,1.0
nag,7200.0,7200.0,7200.0,7200.0,886628.0,886807.0,888935.0,865674.0,163773.85882684286,163781.4534525911,163830.30031232222,163039.53158049582,timelimit,timelimit,timelimit,timelimit,37167040.0,37181943.0,37291025.0,36364315.0,1.0242054168197265,1.0244121921185112,1.0268703923185865,1.0,1.0,1.0,1.0,1.0,1.0044765261109436,1.0045228236446846,1.0048205985728407,1.0
neos-1053234,128.16,128.54,127.06,126.88,21549.0,21549.0,21549.0,21549.0,30.000064587814315,20.000064830283822,10.000064133183995,10.00006404225793,ok,ok,ok,ok,400859.0,400859.0,400859.0,400859.0,1.0,1.0,1.0,1.0,1.0093512565751024,1.0121274108708358,1.0013150204558738,1.0,1.0198019794825672,1.0099009902514298,1.0000000000900258,1.0
neos-1053591,4.31,5.19,4.78,4.57,2100.0,2185.0,2185.0,2185.0,20.607517445671125,22.370492086847563,11.28355912439559,11.216681121458912,ok,ok,ok,ok,13981.0,15603.0,15603.0,15603.0,0.9610983981693364,1.0,1.0,1.0,0.9821551132463966,1.0425531914893618,1.0144131777625258,1.0,1.009286670700287,1.0110300899635267,1.000066136174556,1.0
neos-1056905,7200.0,7200.0,7200.0,7200.0,12183650.0,5373055.0,10908296.0,5533961.0,52522.80214689231,88184.58967217323,65359.666804085646,69906.24807925805,timelimit,timelimit,timelimit,timelimit,46504560.0,36334950.0,41834659.0,35979013.0,2.2016147204506864,0.9709239006201887,1.9711551996842769,1.0,1.0,1.0,1.0,1.0,0.7548390106195613,1.2577818187825127,0.9358789754311878,1.0
neos-1058477,2.71,2.73,2.72,3.09,3.0,3.0,3.0,3.0,10.022631826730056,10.022756933226047,10.022694379978052,20.028371679143696,ok,ok,ok,ok,7357.0,7357.0,7357.0,7357.0,1.0,1.0,1.0,1.0,0.970970206264324,0.972498090145149,0.9717341482047365,1.0,0.9901907239737435,0.9901908466237594,0.9901907852987515,1.0
neos-1061020,3776.98,3778.63,3620.97,3775.34,23691.0,23691.0,22775.0,23691.0,8251.84589615207,8240.145244712057,8170.525565465179,8250.944136164175,ok,ok,ok,ok,2822415.0,2822415.0,2696579.0,2822415.0,1.0,1.0,0.9613355282596767,1.0,1.000433250381736,1.000869142534092,0.9592189869338025,1.0,1.000097477616838,0.9988326714232441,0.9913069877500805,1.0
neos-1062641,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,10.0,30.0,30.0,30.0,ok,ok,ok,ok,143.0,143.0,143.0,143.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9805825242718447,1.0,1.0,1.0
neos-1067731,7200.0,7200.0,7200.0,7200.0,223130.0,223589.0,223932.0,223673.0,1001.5475627596479,1001.6393361969317,1001.4623055877373,1001.4849487552933,timelimit,timelimit,timelimit,timelimit,9302186.0,9322121.0,9337743.0,9326110.0,0.9975723489200753,0.9996244517666415,1.0011579403861888,1.0,1.0,1.0,1.0,1.0,1.000031283774776,1.0000771364489822,0.9999886868159713,1.0
neos-1096528,4563.17,4542.42,4342.62,4536.72,7982.0,7982.0,7711.0,7982.0,57648.31277338931,57427.84388179868,56763.49933840076,57610.79881683126,ok,ok,ok,ok,121816.0,121816.0,118468.0,121816.0,1.0,1.0,0.9660486093710849,1.0,1.005817380441285,1.0012536509835661,0.9573098849280359,1.0,1.0006400519582628,0.9968784773672111,0.9855436285542114,1.0
neos-1109824,17.08,16.84,17.2,16.87,119.0,119.0,119.0,119.0,625.2545090291275,605.2545090291275,635.2545090291275,606.2446690204632,ok,ok,ok,ok,4175.0,4175.0,4175.0,4175.0,1.0,1.0,1.0,1.0,1.0078154075176775,0.9988835132117603,1.0122813546706364,1.0,1.0118349591287714,0.9993835559361328,1.0180606607250906,1.0
neos-1120495,6.19,6.4,6.34,6.03,12.0,12.0,12.0,12.0,542.1699444017959,562.1699444017959,552.6270872589388,522.5167652110445,ok,ok,ok,ok,1057.0,1057.0,1057.0,1057.0,1.0,1.0,1.0,1.0,1.0099812850904555,1.0230817217716779,1.0193387398627574,1.0,1.0129083499373008,1.0260444942852598,1.0197766768392338,1.0
neos-1121679,7200.0,7200.0,7200.0,7200.0,23693732.0,24293479.0,24327205.0,24164182.0,203014.68497554166,263380.9743405273,263262.3144489284,264242.264058168,timelimit,timelimit,timelimit,timelimit,60472053.0,61833487.0,61918896.0,61502060.0,0.980531101777002,1.0053507708226994,1.006746472940818,1.0,1.0,1.0,1.0,1.0,0.7691635633558043,0.9967528187082139,0.9963054545145011,1.0
neos-1122047,6.95,6.84,6.89,6.97,1.0,1.0,1.0,1.0,690.0,680.0,690.0,700.0,ok,ok,ok,ok,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9988214496169712,0.9923394225103124,0.9952857984678846,1.0,0.9941176470588236,0.9882352941176471,0.9941176470588236,1.0
neos-1126860,1803.39,1833.49,1780.95,1792.07,4878.0,4878.0,4878.0,4636.0,1977.34375,1973.75,1959.4591346153848,4494.456845238095,ok,ok,ok,ok,2530362.0,2530362.0,2530362.0,2504892.0,1.0522001725625538,1.0522001725625538,1.0522001725625538,1.0,1.0062816649741686,1.022984678730571,0.9938293185059405,1.0,0.5418813604078786,0.5412272921166489,0.538626331587311,1.0
neos-1151496,3.68,3.96,4.15,4.07,16.0,16.0,16.0,16.0,370.0,400.0,420.0,409.99999999999994,ok,ok,ok,ok,3293.0,3293.0,3293.0,3293.0,1.0,1.0,1.0,1.0,0.9722814498933902,0.992181947405828,1.0056858564321252,1.0,0.9716312056737588,0.9929078014184397,1.0070921985815602,1.0
neos-1171448,51.95,6.09,51.4,50.86,136.0,1.0,136.0,136.0,320.0535210355988,282.07877993527507,311.36680582524275,318.67263106796116,ok,ok,ok,ok,15931.0,5242.0,15931.0,15931.0,1.0,0.007352941176470588,1.0,1.0,1.0179099572790011,0.26437725928360173,1.0088728228721655,1.0,1.0010471817910707,0.9722494800676574,0.9944597126909341,1.0
neos-1171692,28.35,24.09,57.39,20.84,551.0,288.0,2003.0,201.0,157.17007692307692,137.47337362637364,141.85614652014624,150.76516483516488,ok,ok,ok,ok,28128.0,14899.0,144044.0,11588.0,2.7412935323383083,1.4328358208955223,9.965174129353233,1.0,1.243514915693904,1.1053826199740597,2.1851491569390404,1.0,1.005565785517004,0.9884496058666364,0.9922581786560295,1.0
neos-1171737,1879.32,7200.0,6810.44,3074.84,86066.0,395538.0,406623.0,123769.0,2389.7494564102562,10037.76408205128,10238.362328205134,6054.123056410256,ok,timelimit,ok,ok,6700281.0,30295691.0,28558578.0,13622067.0,0.6953760634730829,3.1957760020683694,3.2853380087097737,1.0,0.6124531580244031,2.3372362910231974,2.2109542148053056,1.0,0.4805344944088985,1.5647251960002302,1.5931622170940944,1.0
neos-1173026,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,18.70311466462711,14.656533343065737,18.7031147594494,14.656533343065737,ok,ok,ok,ok,493.0,493.0,493.0,493.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0039881291733557,1.0,1.0039881292668082,1.0
