Settings,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns
,Time,Time,Time,Time,Nodes,Nodes,Nodes,Nodes,PInt,PInt,PInt,PInt,Status,Status,Status,Status,LP_Iterations_dualLP,LP_Iterations_dualLP,LP_Iterations_dualLP,LP_Iterations_dualLP,NodesQ,NodesQ,NodesQ,NodesQ,TimeQ+10,TimeQ+10,TimeQ+10,TimeQ+10,PIntQ+1000,PIntQ+1000,PIntQ+1000,PIntQ+1000
ProblemName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
app1-2,5325.7,7200.01,4414.77,7200.01,40736.0,58191.0,33778.0,67785.0,177568.2926829268,309051.4634146341,135960.97560975607,720001.0,ok,timelimit,ok,timelimit,1628421.0,1995629.0,1236019.0,2021318.0,0.6009589142140591,0.8584642620048684,0.49831083573061885,1.0,0.7400405824679854,1.0,0.6136981779498226,1.0,0.24766719142265659,0.43002917251797723,0.18995948079095046,1.0
arki001,7200.0,7200.0,6777.29,7200.0,2003261.0,1993448.0,1539815.0,1675549.0,391.6419907449439,433.80197208818197,415.7071895423014,431.3107527068378,timelimit,timelimit,ok,timelimit,25993709.0,23083821.0,26113239.0,25467048.0,1.1955848500998778,1.1897282621994343,0.9189913276185895,1.0,1.0,1.0,0.9413717059639389,1.0,0.9722850108637319,1.0017405160805457,0.9890984098770812,1.0
neos-1171737,1879.32,7200.0,6810.44,3074.84,86066.0,395538.0,406623.0,123769.0,2389.7494564102562,10037.76408205128,10238.362328205134,6054.123056410256,ok,timelimit,ok,ok,6700281.0,30295691.0,28558578.0,13622067.0,0.6953760634730829,3.1957760020683694,3.2853380087097737,1.0,0.6124531580244031,2.3372362910231974,2.2109542148053056,1.0,0.4805344944088985,1.5647251960002302,1.5931622170940944,1.0
neos-1605075,4915.14,7200.0,4857.47,4850.29,4215.0,30005.0,4215.0,4215.0,476171.39101907087,548721.4356951456,470463.13750924985,469782.0985711874,ok,timelimit,ok,ok,8022136.0,16943266.0,8022136.0,8022136.0,1.0,7.118623962040332,1.0,1.0,1.0133428252223633,1.4834505759944365,1.0014772781048045,1.0,1.0135716554798384,1.1676770152551197,1.0014466117979621,1.0
neos-619167,2547.38,1735.45,1724.3,1729.89,4637.0,2478.0,2478.0,2478.0,27457.354655461844,25573.33353550727,25220.23664186006,25294.573679324974,fail_objective_value,ok,ok,ok,8197324.0,5340460.0,5340460.0,5340460.0,1.871267150928168,1.0,1.0,1.0,1.4698515423388834,1.0031956043198134,0.9967871532108351,1.0,1.0822519886617303,1.0106014214028303,0.9971729133785743,1.0
neos-662469,6550.9,7200.0,7027.97,6507.45,171674.0,195105.0,184082.0,171674.0,12132.20985967433,12770.862451383917,12431.718233651362,11604.995464830512,ok,timelimit,ok,ok,11853016.0,13782954.0,12325135.0,11853016.0,1.0,1.1364854316902968,1.0722765241096497,1.0,1.006666717811414,1.1062608842415362,1.0798655916040782,1.0,1.041825829792229,1.0924924558526274,1.065586915213695,1.0
neos-885524,3757.63,2325.54,7200.08,7200.04,8150.0,6656.0,15322.0,16728.0,34331.83911922102,34623.64954693098,46769.66390497191,46169.426032765965,ok,ok,timelimit,timelimit,90503.0,57551.0,132450.0,139834.0,0.48720707795313245,0.397895743663319,0.915949306551889,1.0,0.5225532729360725,0.32392885476363514,1.0000055478194296,1.0,0.7490411075741724,0.7552275391730487,1.012725146831106,1.0
neos15,4333.89,4424.96,7200.0,6180.64,998861.0,1032072.0,1799981.0,1528588.0,453.90355650369935,461.4070759418526,759.2217926384477,613.8140241329351,ok,ok,timelimit,ok,20017834.0,20207200.0,33520944.0,29135997.0,0.6534533831222017,0.6751799700115401,1.1775448976441003,1.0,0.7016867399816498,0.7163976584004238,1.1646614889575229,1.0,0.9009114648664972,0.9055610213370359,1.090101936363849,1.0
reblock166,7200.0,4715.27,7200.0,7200.0,349637.0,259636.0,472327.0,472898.0,20102.764210456935,21156.590659628993,20111.082055816893,19943.30646135919,timelimit,ok,timelimit,timelimit,4768015.0,2934517.0,5409829.0,5418693.0,0.7393497117771697,0.5490317150844368,0.9987925514592999,1.0,1.0,0.6553772538141471,1.0,1.0,1.0076137810136117,1.0579318361457555,1.0080109410979232,1.0
