Settings,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns
,Time,Time,Time,Time,Nodes,Nodes,Nodes,Nodes,PInt,PInt,PInt,PInt,Status,Status,Status,Status,LP_Iterations_dualLP,LP_Iterations_dualLP,LP_Iterations_dualLP,LP_Iterations_dualLP,NodesQ,NodesQ,NodesQ,NodesQ,TimeQ+10,TimeQ+10,TimeQ+10,TimeQ+10,PIntQ+1000,PIntQ+1000,PIntQ+1000,PIntQ+1000
ProblemName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10teams,12.71,13.23,13.02,12.14,805.0,805.0,805.0,805.0,558.4810126582279,598.7341772151899,588.4810126582279,605.6962025316456,ok,ok,ok,ok,49927.0,49927.0,49927.0,49927.0,1.0,1.0,1.0,1.0,1.0257452574525745,1.0492321589882565,1.0397470641373079,1.0,0.9705951911706739,0.9956641702798581,0.9892786756011036,1.0
22433,2.92,2.71,2.73,2.73,5.0,5.0,5.0,5.0,290.0,270.0,270.0,270.0,ok,ok,ok,ok,3538.0,3538.0,3538.0,3538.0,1.0,1.0,1.0,1.0,1.0149253731343284,0.9984289080911234,1.0,1.0,1.015748031496063,1.0,1.0,1.0
23588,5.76,5.8,5.63,5.62,503.0,503.0,503.0,503.0,212.33395325989915,222.27380675346166,202.3242310555155,202.2445253534922,ok,ok,ok,ok,11110.0,11110.0,11110.0,11110.0,1.0,1.0,1.0,1.0,1.0089628681177976,1.0115236875800255,1.000640204865557,1.0,1.0083921595762229,1.016659906514509,1.0000662974131656,1.0
Test3,4.85,4.9,4.85,4.73,2.0,2.0,2.0,2.0,195.37280247989824,195.3728087824457,195.37280247989824,195.3727956275139,ok,ok,ok,ok,2965.0,2965.0,2965.0,2965.0,1.0,1.0,1.0,1.0,1.0081466395112015,1.011541072640869,1.0081466395112015,1.0,1.0000000057324245,1.0000000110048781,1.0000000057324245,1.0
acc-tight6,70.64,71.0,70.68,70.41,202.0,202.0,202.0,202.0,7059.999999999999,7100.0,7070.0,7040.000000000001,ok,ok,ok,ok,200386.0,200386.0,200386.0,200386.0,1.0,1.0,1.0,1.0,1.0028603407536376,1.007337395846288,1.0033577913194878,1.0,1.0024875621890545,1.007462686567164,1.003731343283582,1.0
aflow30a,26.67,26.9,26.61,26.56,454.0,454.0,454.0,454.0,718.2475722203341,752.9353914107577,735.5828536878497,718.2389440926378,ok,ok,ok,ok,24846.0,24846.0,24846.0,24846.0,1.0,1.0,1.0,1.0,1.0030087527352298,1.0092997811816191,1.0013676148796498,1.0,1.000005021494668,1.0201930281218499,1.010094003313591,1.0
air03,2.45,2.72,2.86,2.68,2.0,2.0,2.0,2.0,62.98456343918228,83.30572100024469,96.11378709137966,94.13296315089823,ok,ok,ok,ok,1164.0,1164.0,1164.0,1164.0,1.0,1.0,1.0,1.0,0.9818611987381703,1.003154574132492,1.0141955835962144,1.0,0.9715314310410552,0.9901042720443473,1.0018104051401369,1.0
air04,26.75,26.7,26.45,26.63,169.0,169.0,169.0,169.0,261.94513670723074,251.9720687691372,221.94976527851836,251.50640168568262,ok,ok,ok,ok,23277.0,23277.0,23277.0,23277.0,1.0,1.0,1.0,1.0,1.0032760032760033,1.001911001911002,0.9950859950859953,1.0,1.0083409361769846,1.0003720852588747,0.976383152041928,1.0
air05,17.65,18.53,17.59,16.97,219.0,219.0,219.0,219.0,171.75336958884603,192.56477076950415,205.61296936420786,165.73433038949733,ok,ok,ok,ok,17633.0,17633.0,17633.0,17633.0,1.0,1.0,1.0,1.0,1.0252131998516871,1.0578420467185763,1.0229885057471264,1.0,1.005163302686074,1.0230159133865795,1.0342090285368761,1.0
aligninq,16.43,16.46,16.24,16.29,43.0,43.0,43.0,43.0,380.0,380.0,370.0,370.0,ok,ok,ok,ok,7482.0,7482.0,7482.0,7482.0,1.0,1.0,1.0,1.0,1.00532521871434,1.0064663370102702,0.99809813617345,1.0,1.0072992700729928,1.0072992700729928,1.0,1.0
ash608gpia-3col,60.86,60.64,60.74,60.97,5.0,5.0,5.0,5.0,6086.0,6064.0,6074.0,6097.0,ok,ok,ok,ok,14580.0,14580.0,14580.0,14580.0,1.0,1.0,1.0,1.0,0.9984500493166126,0.995350147949838,0.9967591940256448,1.0,0.9984500493166126,0.995350147949838,0.9967591940256446,1.0
bell3a,7.97,8.2,8.31,8.16,15087.0,15087.0,15087.0,15087.0,1.4516803124775601e-05,1.493573219863989e-05,1.5136089581792378e-05,0.1282896787989721,ok,ok,ok,ok,23063.0,23063.0,23063.0,23063.0,1.0,1.0,1.0,1.0,0.9895374449339206,1.002202643171806,1.0082599118942732,1.0,0.9998717412922726,0.9998717417111479,0.9998717419114795,1.0
bell5,0.79,1.18,1.05,0.74,660.0,660.0,660.0,660.0,10.000003782284464,10.106443518465582,10.106442805861262,0.11967013149331865,ok,ok,ok,ok,1490.0,1490.0,1490.0,1490.0,1.0,1.0,1.0,1.0,1.004655493482309,1.0409683426443201,1.0288640595903167,1.0,1.0098791514114427,1.0099855784114906,1.0099855776989717,1.0
bienst1,35.47,35.95,35.71,35.17,14647.0,14647.0,14647.0,14647.0,150.66063890485012,178.8236018678131,169.89113132909256,149.02146605712602,ok,ok,ok,ok,585111.0,585111.0,585111.0,585111.0,1.0,1.0,1.0,1.0,1.0066415762674341,1.0172680982953288,1.0119548372813814,1.0,1.0014265815706203,1.0259369704492582,1.0181629898905031,1.0
binkar10_1,6.33,49.6,48.38,49.03,251.0,3731.0,3731.0,3731.0,48.76516607034804,51.9470613302106,33.27867614404779,36.59770127501732,ok,ok,ok,ok,6767.0,77045.0,77045.0,77045.0,0.06727418922540873,1.0,1.0,1.0,0.27663899712010837,1.0096561070642047,0.9889886498390649,1.0,1.0117378851799157,1.014807441726249,0.996798155034603,1.0
blend2,2.04,2.37,2.27,4.57,1003.0,1003.0,962.0,4877.0,18.762155752725654,29.375345558474056,30.364218531519384,217.01004320526133,ok,ok,ok,ok,4581.0,4581.0,4524.0,17414.0,0.2056592167315973,0.2056592167315973,0.19725240926799262,1.0,0.8263555250514756,0.8490048043925875,0.8421413864104323,1.0,0.837102504979822,0.8458232134612378,0.8466357564460442,1.0
cap6000,4.6,4.9,5.41,4.57,2047.0,2047.0,2307.0,2047.0,29.467397303637913,59.46739730363791,66.06908688463666,29.467111749845085,ok,ok,ok,ok,4223.0,4223.0,5257.0,4223.0,1.0,1.0,1.1270151441133367,1.0,1.0020590253946464,1.022649279341112,1.0576527110501028,1.0,1.0000002773801995,1.0291415677211868,1.0355542928152186,1.0
dano3_3,69.4,69.04,53.97,67.92,2.0,2.0,23.0,11.0,534.9642397899402,534.9642397899402,576.868971368073,534.590635926926,ok,ok,ok,ok,45042.0,45042.0,34667.0,136290.0,0.18181818181818182,0.18181818181818182,2.090909090909091,1.0,1.018993839835729,1.0143737166324436,0.8209702258726899,1.0,1.0002434550649975,1.0002434550649975,1.027550236819743,1.0
dano3_4,81.98,82.36,61.89,36.74,2.0,2.0,2.0,2.0,457.1017190170934,477.1211145590621,437.265770033953,477.26577003395295,ok,ok,ok,ok,60666.0,60666.0,60666.0,60666.0,1.0,1.0,1.0,1.0,1.9679075738125802,1.9760376551133931,1.5380830124090714,1.0,0.9863504242595452,0.9999020789096822,0.972922949403288,1.0
dcmulti,2.61,2.59,2.13,2.28,88.0,88.0,88.0,135.0,14.738231182641348,14.720628248176528,13.811580916267369,14.051772461398992,ok,ok,ok,ok,2543.0,2543.0,2533.0,2757.0,0.6518518518518519,0.6518518518518519,0.6518518518518519,1.0,1.026872964169381,1.0252442996742672,0.987785016286645,1.0,1.000676946424122,1.0006595874145106,0.9997631368026225,1.0
dfn-gwin-UUM,76.14,67.57,68.11,87.73,23863.0,18970.0,18970.0,29181.0,156.2775305663808,166.399109246802,166.14841121243262,169.2616165262088,ok,ok,ok,ok,537462.0,463153.0,463153.0,623077.0,0.8177581302902573,0.650080531852918,0.650080531852918,1.0,0.8814079607080733,0.7937173846311265,0.7992428118285071,1.0,0.9888954826051651,0.997551867572707,0.9973374604367623,1.0
disctom,1.97,1.97,1.62,1.63,1.0,1.0,1.0,1.0,200.0,200.0,160.0,160.0,ok,ok,ok,ok,1965.0,1965.0,1965.0,1965.0,1.0,1.0,1.0,1.0,1.0292347377472058,1.0292347377472058,0.9991401547721411,1.0,1.0344827586206897,1.0344827586206897,1.0,1.0
dsbmip,1.08,1.1,1.05,1.38,10.0,10.0,10.0,10.0,43.05584371074272,43.05584371074272,43.05584371074272,82.61929460920804,ok,ok,ok,ok,2664.0,2664.0,2664.0,2664.0,1.0,1.0,1.0,1.0,0.9736379613356767,0.9753954305799649,0.9710017574692444,1.0,0.963455804736284,0.963455804736284,0.963455804736284,1.0
egout,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,ok,ok,ok,ok,27.0,27.0,27.0,27.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
enigma,0.5,0.61,0.65,0.5,119.0,119.0,119.0,119.0,30.0,60.0,70.0,30.0,ok,ok,ok,ok,852.0,852.0,852.0,852.0,1.0,1.0,1.0,1.0,1.0,1.0104761904761905,1.0142857142857142,1.0,1.0,1.029126213592233,1.0388349514563107,1.0
enlight13,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,ok,ok,ok,ok,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
enlight14,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,ok,ok,ok,ok,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9980059820538385,0.9990029910269193,1.0,1.0
enlight15,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.0,10.0,10.0,10.0,ok,ok,ok,ok,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9900990099009901,1.0,1.0,1.0
enlight16,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,3.0,4.0,7.000000000000001,2.0,ok,ok,ok,ok,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0009980039920159,1.001996007984032,1.0049900199600799,1.0
enlight9,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,ok,ok,ok,ok,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.001,1.001,1.0,1.0
ex9,39.15,39.27,41.3,39.25,1.0,1.0,1.0,1.0,3910.0,3929.9999999999995,4130.0,3920.0000000000005,ok,ok,ok,ok,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9979695431472081,1.0004060913705584,1.0416243654822335,1.0,0.9979674796747967,1.0020325203252032,1.0426829268292683,1.0
fast0507,57.28,57.33,54.68,54.38,535.0,535.0,535.0,535.0,245.2110299571418,237.4516811766033,234.3834993584215,244.02837748417565,ok,ok,ok,ok,57429.0,57429.0,57429.0,57429.0,1.0,1.0,1.0,1.0,1.045045045045045,1.0458216837527183,1.0046598322460394,1.0,1.000950663581612,0.9947133872292587,0.9922470593916359,1.0
fiber,2.52,2.53,2.55,2.87,5.0,5.0,5.0,5.0,25.648761246851382,24.23178665005404,24.231786748591933,41.999617642450474,ok,ok,ok,ok,2446.0,2446.0,2446.0,2446.0,1.0,1.0,1.0,1.0,0.9728049728049727,0.9735819735819734,0.9751359751359752,1.0,0.9843081934784264,0.9829483325218521,0.9829483326164182,1.0
fixnet6,7.96,8.32,8.16,8.13,3.0,3.0,3.0,3.0,92.6693774493858,97.54592065926235,93.89353207243211,95.10764905432407,ok,ok,ok,ok,3380.0,3380.0,3380.0,3380.0,1.0,1.0,1.0,1.0,0.990623276337562,1.0104798676227247,1.00165471594043,1.0,0.997773486828401,1.0022265131715988,0.99889132636144,1.0
flugpl,0.5,0.5,0.5,0.5,7.0,7.0,7.0,7.0,0.6968641114982579,0.6968641114982579,0.6968641114982579,0.6968641114982579,ok,ok,ok,ok,48.0,48.0,48.0,48.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gen,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,10.000001328425638,10.00000033210641,1.3284256374153494e-06,0.00719230173798997,ok,ok,ok,ok,141.0,141.0,141.0,141.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0099927371559068,1.0099927361595948,0.9999928090784069,1.0
gesa2,1.06,1.02,0.61,0.56,1.0,1.0,1.0,1.0,87.61747420418781,78.99496352140378,44.49830855409255,44.49665567096129,ok,ok,ok,ok,916.0,916.0,916.0,916.0,1.0,1.0,1.0,1.0,1.0473484848484849,1.043560606060606,1.0047348484848484,1.0,1.0412838263283157,1.0330286436659595,1.0000015824685722,1.0
gesa2-o,0.7,1.12,1.02,0.63,3.0,3.0,3.0,3.0,22.061244727213595,43.77547023018596,52.06124500867362,22.061177799598372,ok,ok,ok,ok,1062.0,1062.0,1062.0,1062.0,1.0,1.0,1.0,1.0,1.006585136406397,1.046095954844779,1.0366886171213545,1.0,1.0000000654829835,1.0212455896987853,1.0293525161318255,1.0
gesa3,4.85,4.85,4.81,5.12,9.0,9.0,9.0,9.0,12.490970677853031,20.300467544227438,10.431445942149962,29.76514179117517,ok,ok,ok,ok,2550.0,2550.0,2550.0,2550.0,1.0,1.0,1.0,1.0,0.9821428571428571,0.9821428571428571,0.9794973544973543,1.0,0.9832251351184063,0.9908089001434979,0.9812251405059252,1.0
gesa3_o,3.15,3.41,3.45,3.45,5.0,5.0,5.0,5.0,60.00346003188061,90.00345965347383,90.00346003188059,90.00346003188059,ok,ok,ok,ok,2374.0,2374.0,2374.0,2374.0,1.0,1.0,1.0,1.0,0.9776951672862454,0.9970260223048327,1.0,1.0,0.9724771515870945,0.9999999996528388,1.0,1.0
gt2,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,8.838022563201669,8.838022563201669,8.838022563201669,8.838022563201669,ok,ok,ok,ok,96.0,96.0,96.0,96.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
haprp,0.64,0.68,0.63,0.61,1.0,1.0,1.0,1.0,19.69984826623478,21.63981750132696,19.6998481791192,19.699848004888043,ok,ok,ok,ok,684.0,684.0,684.0,684.0,1.0,1.0,1.0,1.0,1.002827521206409,1.006597549481621,1.0018850141376061,1.0,1.0000000002562976,1.0019024907184546,1.000000000170865,1.0
khb05250,0.5,0.73,0.68,0.64,2.0,2.0,2.0,2.0,2.0215680814480397,3.6905326732857477,3.644110322590915,3.36237493857254,ok,ok,ok,ok,393.0,393.0,393.0,393.0,1.0,1.0,1.0,1.0,0.9868421052631579,1.0084586466165413,1.0037593984962405,1.0,0.9986636863304681,1.0003270580429462,1.0002807912585276,1.0
l152lav,1.85,2.26,2.24,1.77,57.0,57.0,18.0,57.0,22.50894654721753,43.91473508826891,43.238425003989576,22.460474471348196,ok,ok,ok,ok,2570.0,2570.0,2852.0,2570.0,1.0,1.0,0.3157894736842105,1.0,1.0067969413763806,1.0416312659303313,1.0399320305862363,1.0,1.0000474072857382,1.0209829730855988,1.0203215195613153,1.0
lectsched-2,28.27,27.68,27.82,27.58,125.0,125.0,125.0,125.0,2830.0,2770.0,2780.0,2760.0,ok,ok,ok,ok,8788.0,8788.0,8788.0,8788.0,1.0,1.0,1.0,1.0,1.0183608302288452,1.0026609898882384,1.0063863757317724,1.0,1.0186170212765957,1.002659574468085,1.0053191489361701,1.0
