Group,Settings,_abort_,_count_,_dualfail_,_fail_,_limit_,_solved_,_time_,_unkn_,Time_shmean(1.0),PInt_avg,Time_shmean(1.0)Q,PInt_avgQ
All,alns_e,0.0,665,0.0,1.0,264.0,400.0,263.0,0.0,358.60744501184746,77204.62197965092,0.981084900231514,0.9789039246457999
All,alns_g,0.0,665,0.0,0.0,267.0,398.0,266.0,0.0,360.9016176094309,78001.49016422736,0.9873613401808844,0.9890076901109407
All,alns_u,0.0,665,0.0,0.0,265.0,400.0,264.0,0.0,360.1692159933176,76516.88341777226,0.9853576222534717,0.9701838511567965
All,no-alns,0.0,665,0.0,0.0,266.0,399.0,265.0,0.0,365.521317194082,78868.43645824194,1.0,1.0
Diff,alns_e,0.0,110,0.0,1.0,2.0,107.0,2.0,0.0,136.3960834975848,10281.798551445821,0.8860517439195722,0.6508493659297702
Diff,alns_g,0.0,110,0.0,0.0,5.0,105.0,5.0,0.0,137.2089093995004,12278.623646418388,0.8913319967642814,0.7772506312757824
Diff,alns_u,0.0,110,0.0,0.0,3.0,107.0,3.0,0.0,137.54990849623144,10046.820913629848,0.8935471838619291,0.6359750182351545
Diff,no-alns,0.0,110,0.0,0.0,4.0,106.0,4.0,0.0,153.936927988221,15797.508747293268,1.0,1.0
Equal,alns_e,0.0,293,0.0,0.0,0.0,293.0,0.0,0.0,35.05094258987566,12888.249020698804,1.001947255886702,1.0023434846275288
Equal,alns_g,0.0,293,0.0,0.0,0.0,293.0,0.0,0.0,35.493828119316916,12876.26879653241,1.0146073416963135,1.001411759951952
Equal,alns_u,0.0,293,0.0,0.0,0.0,293.0,0.0,0.0,35.29014762564838,12870.495540847838,1.0087850414490218,1.0009627629461348
Equal,no-alns,0.0,293,0.0,0.0,0.0,293.0,0.0,0.0,34.982822083639846,12858.116222991246,1.0,1.0
MIPLIB2010,alns_e,0.0,87,0.0,0.0,6.0,81.0,6.0,0.0,314.01021049329256,21610.159144453708,0.9540772359331503,0.7631804616157157
MIPLIB2010,alns_g,0.0,87,0.0,0.0,7.0,80.0,7.0,0.0,321.0219136891583,23195.385905923522,0.9753813406429496,0.8191640424629035
MIPLIB2010,alns_u,0.0,87,0.0,0.0,6.0,81.0,6.0,0.0,323.5769854989283,21097.422792474586,0.9831445781696737,0.7450727575874918
MIPLIB2010,no-alns,0.0,87,0.0,0.0,7.0,80.0,7.0,0.0,329.1245180859702,28315.922945279843,1.0,1.0
