Settings,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns
,Time,Time,Time,Time,Nodes,Nodes,Nodes,Nodes,PInt,PInt,PInt,PInt,Status,Status,Status,Status,LP_Iterations_dualLP,LP_Iterations_dualLP,LP_Iterations_dualLP,LP_Iterations_dualLP,NodesQ,NodesQ,NodesQ,NodesQ,TimeQ+10,TimeQ+10,TimeQ+10,TimeQ+10,PIntQ+1000,PIntQ+1000,PIntQ+1000,PIntQ+1000
ProblemName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arki001,7200.0,7200.0,6777.29,7200.0,2003261.0,1993448.0,1539815.0,1675549.0,391.6419907449439,433.80197208818197,415.7071895423014,431.3107527068378,timelimit,timelimit,ok,timelimit,25993709.0,23083821.0,26113239.0,25467048.0,1.1955848500998778,1.1897282621994343,0.9189913276185895,1.0,1.0,1.0,0.9413717059639389,1.0,0.9722850108637319,1.0017405160805457,0.9890984098770812,1.0
danoint,5845.53,5846.66,5840.62,5956.88,1509084.0,1527197.0,1509084.0,1509084.0,584.3766902675674,758.5586315716426,585.462847678858,598.4557042244147,ok,ok,ok,ok,68449991.0,70301362.0,68449991.0,68449991.0,1.0,1.012002645313316,1.0,1.0,0.9813386560480518,0.98152803475183,0.9805157804413697,1.0,0.9911921150397606,1.1001610034761091,0.9918716192690114,1.0
glass4,1525.54,1709.61,1263.89,3358.24,1128981.0,1275522.0,1182865.0,2240661.0,36138.652587761404,42951.71734299408,28260.082970319545,80752.22120530806,ok,ok,ok,ok,12484403.0,13909152.0,10995318.0,23456683.0,0.5038606911085612,0.5692614813218064,0.5279089518673284,1.0,0.4558879414768544,0.5105366600954802,0.37820642234520113,1.0,0.45428310130550975,0.5376210786079578,0.3579117795079521,1.0
k16x240,2346.57,2340.29,2961.71,2977.08,1012176.0,1012176.0,1289065.0,1289065.0,62.410864515847564,62.61231088145496,128.71857979772065,127.68318453447371,ok,ok,ok,ok,10775190.0,10775190.0,13633517.0,13633517.0,0.7852016771846261,0.7852016771846261,1.0,1.0,0.7889209529038392,0.7868185652878397,0.9948545067423705,1.0,0.9421182111130162,0.9422968484895152,1.0009181614813867,1.0
leo1,4498.06,3445.4,4499.6,4484.55,602050.0,482314.0,602050.0,602050.0,4318.656565929206,3574.529318328471,4317.752528924573,4302.777110236272,ok,ok,ok,ok,15320867.0,11937531.0,15320867.0,15320867.0,1.0,0.8011195083464828,1.0,1.0,1.0030058626558833,0.7687977661834888,1.003348499849818,1.0,1.0029945546197447,0.8626667165583822,1.0028240709305682,1.0
lrn,898.02,1018.78,960.23,807.22,30503.0,37602.0,30298.0,31986.0,4526.448242376277,4557.439954503126,4551.382573448484,4538.490989654142,ok,ok,ok,ok,306338.0,325464.0,329964.0,329689.0,0.9536359657350091,1.1755768148564998,0.9472269117739011,1.0,1.1111083918651037,1.258877658402878,1.18723232422114,1.0,0.9978256266372265,1.003421322682366,1.002327634696603,1.0
neos-1171737,1879.32,7200.0,6810.44,3074.84,86066.0,395538.0,406623.0,123769.0,2389.7494564102562,10037.76408205128,10238.362328205134,6054.123056410256,ok,timelimit,ok,ok,6700281.0,30295691.0,28558578.0,13622067.0,0.6953760634730829,3.1957760020683694,3.2853380087097737,1.0,0.6124531580244031,2.3372362910231974,2.2109542148053056,1.0,0.4805344944088985,1.5647251960002302,1.5931622170940944,1.0
neos-555343,5858.48,2039.03,2049.3,2047.71,677093.0,205580.0,205580.0,205580.0,5426.393332648878,4582.447716510753,4604.587779500803,4602.006866377118,ok,ok,ok,ok,15814949.0,4884985.0,4884985.0,4884985.0,3.293574277653468,1.0,1.0,1.0,2.8519470673710092,0.9957817185123267,1.000772703636567,1.0,1.1471591317068306,0.9965085458956221,1.0004607122385327,1.0
neos-555424,3327.32,3657.9,4902.24,4919.31,313852.0,369892.0,494655.0,494655.0,9595.333627104668,7116.33251393956,11323.540661162036,11340.844655926643,ok,ok,ok,ok,7384071.0,9008514.0,12103423.0,12103423.0,0.6344866624212835,0.7477777440842608,1.0,1.0,0.6770359340353923,0.7441000870304363,0.99653704068115,1.0,0.8585582204874689,0.6576804700350655,0.9985978273572793,1.0
neos-593853,50.39,70.51,280.56,653.38,19693.0,27553.0,123746.0,301425.0,119.65802821779532,121.10516839267142,178.5919523774111,394.98280056310074,ok,ok,ok,ok,169635.0,259825.0,1184724.0,1312041.0,0.06533300157584805,0.09140913991871942,0.4105366177324376,1.0,0.0910337966173234,0.12136332117338479,0.4379993367300793,1.0,0.8026321383789339,0.8036695276387097,0.8448791998737613,1.0
neos-662469,6550.9,7200.0,7027.97,6507.45,171674.0,195105.0,184082.0,171674.0,12132.20985967433,12770.862451383917,12431.718233651362,11604.995464830512,ok,timelimit,ok,ok,11853016.0,13782954.0,12325135.0,11853016.0,1.0,1.1364854316902968,1.0722765241096497,1.0,1.006666717811414,1.1062608842415362,1.0798655916040782,1.0,1.041825829792229,1.0924924558526274,1.065586915213695,1.0
neos-942830,1563.08,729.87,1559.95,1558.87,347373.0,156719.0,387263.0,387263.0,1633.4553049289893,1575.2992105933283,2056.848132259897,2038.7875261992906,ok,ok,ok,ok,17323095.0,7064545.0,17087387.0,17087387.0,0.8969950653690127,0.4046836387674526,1.0,1.0,1.0026834600699868,0.47159420474609115,1.0006883935571462,1.0,0.8666138327291137,0.8474759055676189,1.0059433592855356,1.0
neos15,4333.89,4424.96,7200.0,6180.64,998861.0,1032072.0,1799981.0,1528588.0,453.90355650369935,461.4070759418526,759.2217926384477,613.8140241329351,ok,ok,timelimit,ok,20017834.0,20207200.0,33520944.0,29135997.0,0.6534533831222017,0.6751799700115401,1.1775448976441003,1.0,0.7016867399816498,0.7163976584004238,1.1646614889575229,1.0,0.9009114648664972,0.9055610213370359,1.090101936363849,1.0
noswot,125.02,124.54,129.14,129.28,293390.0,287937.0,282600.0,282600.0,9.024390243902438,34.14634146341463,10.24390243902439,20.73170731707317,ok,ok,ok,ok,974991.0,939385.0,980158.0,980158.0,1.0381811748053786,1.0188853503184714,1.0,1.0,0.9694141298104536,0.965967834577829,0.998994830557151,1.0,0.9885304659498207,1.013142174432497,0.9897252090800478,1.0
pg5_34,1217.06,951.0,1834.07,1025.5,119526.0,86634.0,154035.0,100670.0,128.9901259006537,104.98389278835731,181.9423589769415,118.17688167166219,ok,ok,ok,ok,3133697.0,2375602.0,4361344.0,2774317.0,1.1873050561239693,0.860574153173736,1.5300983411145326,1.0,1.1849927571221632,0.9280540801545147,1.780849830999517,1.0,1.0096704237104472,0.9882013399672674,1.0570262883721497,1.0
ran14x18,2383.62,2138.82,1694.3,2317.54,626960.0,577202.0,449148.0,553553.0,755.7939310536677,674.0020946414563,612.9845272969683,726.3618710382189,ok,ok,ok,ok,11082787.0,10454510.0,8493046.0,10096139.0,1.1326106081983116,1.0427221964292488,0.8113911405050646,1.0,1.028390489529718,0.9232150682695035,0.7322323139451954,1.0,1.017048604066857,0.9696704513259009,0.9343258527407893,1.0
reblock166,7200.0,4715.27,7200.0,7200.0,349637.0,259636.0,472327.0,472898.0,20102.764210456935,21156.590659628993,20111.082055816893,19943.30646135919,timelimit,ok,timelimit,timelimit,4768015.0,2934517.0,5409829.0,5418693.0,0.7393497117771697,0.5490317150844368,0.9987925514592999,1.0,1.0,0.6553772538141471,1.0,1.0,1.0076137810136117,1.0579318361457555,1.0080109410979232,1.0
rococoC10-001000,442.92,397.26,410.75,442.41,48737.0,34036.0,36233.0,48737.0,1438.6413624523686,1178.5890031642912,1630.4149116085023,1432.3565368066995,ok,ok,ok,ok,2297206.0,1909346.0,2037468.0,2297206.0,1.0,0.6983605884646162,0.7434392761146562,1.0,1.0011272960367807,0.9002011449791117,0.9300192303441568,1.0,1.0025838422741757,0.8956700920270657,1.0814265391626436,1.0
sp97ar,4965.36,5507.88,5118.69,6092.05,169580.0,214186.0,179303.0,210212.0,3585.199816397549,4330.026926762588,4021.528619461034,3962.079894119522,ok,ok,ok,ok,8340837.0,9733581.0,9969057.0,10805015.0,0.8067094171598196,1.018904724754058,0.8529627233459555,1.0,0.815358772871412,0.9042665989298678,0.8404863939167984,1.0,0.9240479625955625,1.0741517751616845,1.011980606239727,1.0
umts,3965.51,6102.76,2697.94,3945.22,1262264.0,1792997.0,604273.0,1262264.0,406.40659765109075,619.3222519914534,402.4174538518873,388.7808649129862,ok,ok,ok,ok,13617565.0,19343926.0,9002965.0,13617565.0,1.0,1.420461171355596,0.4787215669622203,1.0,1.0051299295614404,1.5454917804825017,0.6846496528638104,1.0,1.0126915146827062,1.1660027099328676,1.0098191077393306,1.0
zib54-UUE,2853.48,2644.3,2290.87,2309.53,71061.0,77163.0,65296.0,65852.0,1495.2143780843433,1459.5742371834403,1545.0675771374463,1501.7385631460731,ok,ok,ok,ok,6255881.0,6077801.0,5099840.0,5239801.0,1.0791016218186236,1.171763955536658,0.9915568243940959,1.0,1.2345087151276335,1.1443266523821636,0.9919552667997394,1.0,0.9973921395473374,0.983145990318985,1.0173195611362702,1.0
